,模型答案,真实答案
1,ABD,BD
2,ABD,ABD
3,ABCD,ABCD
4,ABC,ABC
5,E,ABC
6,ABD,ABD
7,ABCD,ABC
8,ABC,ABC
9,ACD,CD
10,ABC,ABC
11,ABCD,ACD
12,ABCD,ABCD
13,ABC,AC
14,CD,ACD
15,ABCD,ABCD
16,ABC,ABC
17,BCD,BCD
18,ACD,ACD
19,E,ABC
20,ABCD,ABCD
21,E,CD
22,ACD,ACD
23,E,BCD
24,ABC,AC
25,BCD,BC
26,ABCD,AB
27,ABCD,AB
28,ABCD,ABCD
29,BCD,BD
30,BCD,BCD
31,ABD,AD
32,AD,AD
33,ABCD,ABCD
34,CD,CD
35,ABD,AD
36,BD,BD
37,ACD,CD
38,BC,BC
39,CD,CD
40,ABCD,ABCD
41,ACD,AC
42,ABC,ABC
43,ACD,ACD
44,CD,CD
45,ABCD,BC
46,ABCD,ABD
47,ABC,ABC
48,ABD,ABD
49,测评最终结果,共48题，27题完全正确，1题部分正确，20题多选或错选。严格正确率：56.25%，弹性正确率：57.63888888888889%
