,模型答案,真实答案
1,D,BD
2,A,ABD
3,A,ABCD
4,A,ABC
5,ABCD,ABC
6,A,ABD
7,A,ABC
8,A,ABC
9,A,CD
10,A,ABC
11,D,ACD
12,ABCD,ABCD
13,A,AC
14,ABCD,ACD
15,A,ABCD
16,A,ABC
17,B,BCD
18,C,ACD
19,A,ABC
20,A,ABCD
21,A,CD
22,A,ACD
23,A,BCD
24,A,AC
25,ABCD,BC
26,A,AB
27,ABC,AB
28,A,ABCD
29,B,BD
30,ABCD,BCD
31,A,AD
32,A,AD
33,ABCD,ABCD
34,ABCD,CD
35,ABCD,AD
36,ABCD,BD
37,ABCD,CD
38,ABCD,BC
39,ABCD,CD
40,ABCD,ABCD
41,ABCD,AC
42,ABCD,ABC
43,ABCD,ACD
44,ABCD,CD
45,ABCD,BC
46,ABCD,ABD
47,ABCD,ABC
48,ABCD,ABD
49,测评最终结果,共48题，3题完全正确，23题部分正确，22题多选或错选。严格正确率：6.25%，弹性正确率：23.958333333333336%
