,模型答案,真实答案
1,D,D
2,B,C
3,B,B
4,B,B
5,A,A
6,B,A
7,B,B
8,B,B
9,D,D
10,A,A
11,D,D
12,D,D
13,A,B
14,C,C
15,B,D
16,B,D
17,D,D
18,B,B
19,B,A
20,D,B
21,B,B
22,B,B
23,B,B
24,D,C
25,D,C
26,D,A
27,A,C
28,B,B
29,C,C
30,D,A
31,D,D
32,D,D
33,D,B
34,B,B
35,B,D
36,D,D
37,A,A
38,B,C
39,B,B
40,B,B
41,A,A
42,C,C
43,C,C
44,C,C
45,D,B
46,D,C
47,B,B
48,B,C
49,B,A
50,A,A
51,D,B
52,B,B
53,C,B
54,B,C
55,B,B
56,D,B
57,D,B
58,D,D
59,B,D
60,D,A
61,B,B
62,C,C
63,D,D
64,C,C
65,B,B
66,B,B
67,B,B
68,D,A
69,D,C
70,C,C
71,A,C
72,B,B
73,B,B
74,B,C
75,C,A
76,D,A
77,D,D
78,B,A
79,B,C
80,B,B
81,B,A
82,D,D
83,A,A
84,B,D
85,D,C
86,C,D
87,B,B
88,B,B
89,B,B
90,B,B
91,D,B
92,A,C
93,B,C
94,C,C
95,B,C
96,B,D
97,D,D
98,D,D
99,B,D
100,D,A
101,D,B
102,B,C
103,B,D
104,B,D
105,B,B
106,D,A
107,B,C
108,B,C
109,D,A
110,C,C
111,D,D
112,D,D
113,B,B
114,B,A
115,D,B
116,B,A
117,C,D
118,D,A
119,D,B
120,C,C
121,C,C
122,B,B
123,C,D
124,D,D
125,A,A
126,B,B
127,C,C
128,B,B
129,B,B
130,D,B
131,D,A
132,C,C
133,B,B
134,B,D
135,D,D
136,B,C
137,C,C
138,D,A
139,B,A
140,D,D
141,C,A
142,B,C
143,D,C
144,C,C
145,B,A
146,B,B
147,B,A
148,C,D
149,B,C
150,B,B
151,D,A
152,D,D
153,A,C
154,B,A
155,C,C
156,D,A
157,B,B
158,D,C
159,C,C
160,B,B
161,B,D
162,B,B
163,D,D
164,A,A
165,D,D
166,C,C
167,A,A
168,B,B
169,B,B
170,B,B
171,B,B
172,D,B
173,B,C
174,D,D
175,A,A
176,B,D
177,A,A
178,B,B
179,D,A
180,B,B
181,B,A
182,D,B
183,B,B
184,C,D
185,B,C
186,B,D
187,C,B
188,D,D
189,B,C
190,C,C
191,B,A
192,B,D
193,D,A
194,D,D
195,D,A
196,D,D
197,C,C
198,B,C
199,A,A
200,D,D
201,B,A
202,A,B
203,B,C
204,D,A
205,C,C
206,D,A
207,A,A
208,C,C
209,B,C
210,C,A
211,D,D
212,A,A
213,B,A
214,A,A
215,B,B
216,D,C
217,D,D
218,B,B
219,D,D
220,D,D
221,C,C
222,B,B
223,D,B
224,B,C
225,C,B
226,D,B
227,C,C
228,B,B
229,B,C
230,B,B
231,D,C
232,B,B
233,B,D
234,B,B
235,D,A
236,D,C
237,C,B
238,D,B
239,D,D
240,B,B
241,C,C
242,D,D
243,A,A
244,C,C
245,D,C
246,C,C
247,B,B
248,B,D
249,B,B
250,B,B
251,B,D
252,D,D
253,B,C
254,D,B
255,D,A
256,B,D
257,D,D
258,C,C
259,D,C
260,A,A
261,B,D
262,C,C
263,D,B
264,D,A
265,B,D
266,D,D
267,C,C
268,A,A
269,B,A
270,B,B
271,C,C
272,B,C
273,D,A
274,B,A
275,B,D
276,D,D
277,B,B
278,C,C
279,D,D
280,B,B
281,D,D
282,B,C
283,D,B
284,B,B
285,B,B
286,A,B
287,D,D
288,D,D
289,D,C
290,B,B
291,B,D
292,C,C
293,D,D
294,C,C
295,D,C
296,B,D
297,B,D
298,B,B
299,D,A
300,D,A
301,D,D
302,D,B
303,A,D
304,B,B
305,B,B
306,C,B
307,C,C
308,B,B
309,C,D
310,B,B
311,D,D
312,B,B
313,D,D
314,B,B
315,D,C
316,B,B
317,C,C
318,D,D
319,B,B
320,C,D
321,B,B
322,B,B
323,B,B
324,B,B
325,D,D
326,D,B
327,D,A
328,B,C
329,D,D
330,B,A
331,C,B
332,D,B
333,A,C
334,C,C
335,D,C
336,B,B
337,B,B
338,B,D
339,D,D
340,B,B
341,D,B
342,D,D
343,B,B
344,B,B
345,B,C
346,D,C
347,D,C
348,B,B
349,C,C
350,C,C
351,D,B
352,C,C
353,D,D
354,D,C
355,B,A
356,D,C
357,D,D
358,B,D
359,B,A
360,B,B
361,测评最终结果,共360题，193题正确，167题错误。正确率：53.61111111111111%
