,模型答案,真实答案
1,C,AC
2,D,ABD
3,A,ACD
4,B,AC
5,B,BC
6,B,AB
7,A,AB
8,B,BCD
9,D,BC
10,B,AD
11,B,AB
12,B,AB
13,A,ABCD
14,B,ABC
15,A,ABC
16,D,BC
17,D,ABCD
18,D,ABD
19,BCD,ABCD
20,A,BC
21,D,ABD
22,B,BC
23,B,BD
24,D,AC
25,B,ABD
26,BCD,BCD
27,B,BCD
28,B,ABC
29,A,ABC
30,D,ABCD
31,A,AD
32,D,AC
33,D,AD
34,D,ABD
35,A,AB
36,D,ABC
37,D,ABD
38,B,CD
39,D,ABD
40,B,ABCD
41,ABCD,BD
42,C,CD
43,D,ABD
44,A,ABC
45,D,ACD
46,ACD,ACD
47,B,BD
48,A,ABD
49,A,ABD
50,A,ABCD
51,A,ABD
52,D,ACD
53,B,BD
54,D,ABC
55,A,ABD
56,D,BCD
57,B,BCD
58,D,ABCD
59,D,AC
60,A,AB
61,A,ACD
62,C,ABC
63,D,AD
64,D,ABCD
65,A,AC
66,B,ABD
67,A,ABCD
68,A,ABC
69,A,ACD
70,A,ABC
71,A,BCD
72,B,CD
73,C,ABC
74,A,ABCD
75,A,AC
76,D,AD
77,B,BCD
78,D,ABD
79,A,ABC
80,ABCD,CD
81,ACD,ACD
82,BCD,AC
83,ACD,ACD
84,BCD,BCD
85,BCD,BC
86,BCD,ABC
87,BCD,BCD
88,A,BD
89,A,AB
90,D,BC
91,B,ABC
92,A,AB
93,BCD,BCD
94,A,AD
95,BCD,BC
96,BCD,ABC
97,B,BC
98,D,ABCD
99,D,ABD
100,B,AB
101,D,BCD
102,A,ABCD
103,B,ABC
104,D,CD
105,B,BCD
106,BCD,AB
107,A,BC
108,ACD,ACD
109,D,ACD
110,A,BCD
111,B,ABD
112,A,BD
113,D,ABD
114,C,AC
115,B,AB
116,ACD,ACD
117,D,CD
118,D,AD
119,A,AC
120,A,BC
121,A,AC
122,A,ABCD
123,A,AD
124,B,AB
125,B,BC
126,A,ABC
127,A,ABC
128,ABCD,ABCD
129,B,ABC
130,BCD,CD
131,A,ABD
132,C,AC
133,B,ABC
134,D,BCD
135,C,CD
136,A,ABD
137,D,ACD
138,BCD,ABC
139,C,BC
140,ACD,ACD
141,B,BD
142,B,BC
143,A,ABD
144,D,BCD
145,D,BD
146,BCD,BCD
147,C,BCD
148,A,ABCD
149,D,AB
150,B,AD
151,C,ACD
152,B,ABD
153,C,ABC
154,D,ACD
155,ACD,ABC
156,A,ACD
157,A,CD
158,D,ABCD
159,B,AC
160,B,ABC
161,ACD,ABCD
162,A,AD
163,ABCD,ABC
164,A,ACD
165,D,AB
166,A,ABD
167,A,ABC
168,D,ABCD
169,B,BD
170,C,AC
171,A,ABCD
172,B,ABC
173,D,ACD
174,D,AC
175,A,ABC
176,D,ABCD
177,D,ABC
178,B,AC
179,A,ABCD
180,A,ABCD
181,ABCD,ABCD
182,D,ABC
183,A,ACD
184,CD,BCD
185,ACD,CD
186,D,BD
187,B,ABC
188,B,AB
189,B,ABC
190,A,ABCD
191,BCD,AC
192,C,ACD
193,ABCD,ABCD
194,D,ABC
195,C,AB
196,B,ABD
197,ACD,ACD
198,C,BCD
199,B,AB
200,A,CD
201,B,AB
202,C,AC
203,ACD,ABD
204,B,BD
205,A,BC
206,C,BD
207,A,AC
208,A,BC
209,BCD,AC
210,D,ABD
211,D,ABD
212,BCD,AB
213,ABD,AB
214,D,CD
215,B,CD
216,A,ABC
217,B,BC
218,B,AB
219,C,AC
220,A,ABC
221,D,BCD
222,B,BD
223,B,BC
224,D,ABCD
225,D,CD
226,D,BD
227,C,BCD
228,A,ABD
229,A,AB
230,BCD,ABC
231,D,ABC
232,A,AD
233,D,ABD
234,D,AD
235,A,AC
236,D,ABC
237,D,BCD
238,B,AB
239,B,ABD
240,B,CD
241,测评最终结果,共240题，15题完全正确，168题部分正确，57题多选或错选。严格正确率：6.25%，弹性正确率：33.71527777777777%
