,模型答案,真实答案
1,D,D
2,C,C
3,D,B
4,A,B
5,A,A
6,C,A
7,D,B
8,B,B
9,D,D
10,A,A
11,D,D
12,D,D
13,C,B
14,C,C
15,C,D
16,D,D
17,C,D
18,B,B
19,C,A
20,C,B
21,C,B
22,B,B
23,B,B
24,C,C
25,C,C
26,D,A
27,C,C
28,C,B
29,C,C
30,C,A
31,D,D
32,C,D
33,C,B
34,C,B
35,C,D
36,C,D
37,A,A
38,C,C
39,C,B
40,C,B
41,C,A
42,C,C
43,C,C
44,C,C
45,C,B
46,C,C
47,B,B
48,C,C
49,C,A
50,C,A
51,B,B
52,C,B
53,C,B
54,C,C
55,C,B
56,C,B
57,C,B
58,C,D
59,C,D
60,C,A
61,C,B
62,C,C
63,C,D
64,C,C
65,E,B
66,B,B
67,B,B
68,C,A
69,C,C
70,C,C
71,C,C
72,B,B
73,C,B
74,E,C
75,A,A
76,D,A
77,D,D
78,D,A
79,C,C
80,C,B
81,C,A
82,D,D
83,A,A
84,C,D
85,C,C
86,C,D
87,C,B
88,B,B
89,B,B
90,C,B
91,C,B
92,D,C
93,C,C
94,C,C
95,C,C
96,D,D
97,C,D
98,C,D
99,C,D
100,C,A
101,B,B
102,C,C
103,C,D
104,C,D
105,C,B
106,A,A
107,C,C
108,C,C
109,C,A
110,C,C
111,C,D
112,C,D
113,C,B
114,C,A
115,C,B
116,C,A
117,C,D
118,C,A
119,C,B
120,C,C
121,C,C
122,C,B
123,C,D
124,D,D
125,A,A
126,B,B
127,C,C
128,C,B
129,B,B
130,C,B
131,D,A
132,C,C
133,E,B
134,D,D
135,C,D
136,C,C
137,C,C
138,C,A
139,C,A
140,D,D
141,A,A
142,C,C
143,C,C
144,C,C
145,A,A
146,B,B
147,A,A
148,C,D
149,C,C
150,C,B
151,C,A
152,D,D
153,C,C
154,C,A
155,C,C
156,A,A
157,E,B
158,E,C
159,C,C
160,B,B
161,C,D
162,B,B
163,C,D
164,A,A
165,D,D
166,C,C
167,C,A
168,C,B
169,B,B
170,C,B
171,B,B
172,D,B
173,C,C
174,C,D
175,C,A
176,C,D
177,C,A
178,C,B
179,C,A
180,B,B
181,C,A
182,C,B
183,B,B
184,C,D
185,C,C
186,C,D
187,C,B
188,D,D
189,C,C
190,C,C
191,A,A
192,C,D
193,D,A
194,D,D
195,C,A
196,C,D
197,C,C
198,C,C
199,A,A
200,C,D
201,A,A
202,C,B
203,C,C
204,C,A
205,C,C
206,D,A
207,A,A
208,C,C
209,C,C
210,C,A
211,D,D
212,E,A
213,C,A
214,C,A
215,C,B
216,C,C
217,D,D
218,C,B
219,C,D
220,D,D
221,C,C
222,B,B
223,C,B
224,C,C
225,C,B
226,C,B
227,C,C
228,D,B
229,C,C
230,B,B
231,C,C
232,C,B
233,C,D
234,B,B
235,C,A
236,C,C
237,C,B
238,C,B
239,C,D
240,B,B
241,C,C
242,D,D
243,A,A
244,C,C
245,C,C
246,C,C
247,B,B
248,E,D
249,B,B
250,B,B
251,D,D
252,D,D
253,C,C
254,C,B
255,D,A
256,C,D
257,D,D
258,C,C
259,C,C
260,A,A
261,C,D
262,C,C
263,C,B
264,D,A
265,D,D
266,D,D
267,C,C
268,A,A
269,C,A
270,C,B
271,C,C
272,C,C
273,C,A
274,A,A
275,D,D
276,C,D
277,C,B
278,C,C
279,C,D
280,B,B
281,D,D
282,C,C
283,C,B
284,C,B
285,C,B
286,C,B
287,D,D
288,C,D
289,D,C
290,B,B
291,D,D
292,C,C
293,C,D
294,C,C
295,C,C
296,C,D
297,C,D
298,C,B
299,A,A
300,C,A
301,D,D
302,B,B
303,D,D
304,C,B
305,B,B
306,C,B
307,C,C
308,C,B
309,C,D
310,B,B
311,D,D
312,D,B
313,C,D
314,B,B
315,C,C
316,C,B
317,C,C
318,D,D
319,C,B
320,C,D
321,C,B
322,C,B
323,C,B
324,B,B
325,C,D
326,D,B
327,B,A
328,C,C
329,C,D
330,A,A
331,C,B
332,C,B
333,C,C
334,C,C
335,C,C
336,C,B
337,C,B
338,C,D
339,C,D
340,B,B
341,C,B
342,C,D
343,B,B
344,C,B
345,C,C
346,C,C
347,C,C
348,B,B
349,C,C
350,C,C
351,C,B
352,C,C
353,D,D
354,C,C
355,C,A
356,C,C
357,C,D
358,A,D
359,C,A
360,C,B
361,测评最终结果,共360题，183题正确，177题错误。正确率：50.83333333333333%
