,模型答案,真实答案
1,A,BD
2,A,ABD
3,B,ABCD
4,B,ABC
5,C,ABC
6,A,ABD
7,A,ABC
8,B,ABC
9,C,CD
10,A,ABC
11,A,ACD
12,D,ABCD
13,A,AC
14,C,ACD
15,A,ABCD
16,B,ABC
17,B,BCD
18,ACD,ACD
19,A,ABC
20,BCD,ABCD
21,CD,CD
22,C,ACD
23,B,BCD
24,A,AC
25,B,BC
26,A,AB
27,A,AB
28,B,ABCD
29,B,BD
30,B,BCD
31,A,AD
32,A,AD
33,B,ABCD
34,C,CD
35,A,AD
36,D,BD
37,C,CD
38,B,BC
39,D,CD
40,C,ABCD
41,A,AC
42,B,ABC
43,A,ACD
44,C,CD
45,B,BC
46,A,ABD
47,B,ABC
48,B,ABD
49,测评最终结果,共48题，2题完全正确，45题部分正确，1题多选或错选。严格正确率：4.166666666666666%，弹性正确率：41.49305555555554%
