,模型答案,真实答案
1,D,CD
2,A,AB
3,B,ABD
4,BCD,ABC
5,A,ABC
6,A,AC
7,B,BCD
8,D,CD
9,A,AC
10,BCD,BCD
11,C,ACD
12,B,BD
13,B,BD
14,A,ABCD
15,B,ABC
16,ACD,ACD
17,B,AB
18,B,ABC
19,BCD,BCD
20,B,ABD
21,BCD,BC
22,D,ACD
23,B,ABCD
24,C,ABC
25,A,ABD
26,C,ABC
27,A,ABC
28,A,AC
29,D,AC
30,D,BD
31,A,ABD
32,B,ABC
33,D,AD
34,BCD,BC
35,B,BC
36,ACD,CD
37,B,BCD
38,D,ABC
39,BCD,ABC
40,A,AB
41,BCD,BC
42,B,ABD
43,A,ABD
44,B,ABD
45,D,AD
46,ACD,ABC
47,BCD,BCD
48,B,AB
49,BCD,BC
50,ABCD,BCD
51,B,ABC
52,B,ACD
53,BCD,ABC
54,B,BC
55,B,ABCD
56,ABCD,ABD
57,B,ABCD
58,A,AD
59,B,CD
60,B,BC
61,CD,BC
62,ABC,AC
63,D,AB
64,C,ABCD
65,C,ABC
66,D,BD
67,A,AB
68,ABCD,ABC
69,D,BCD
70,B,BCD
71,C,AC
72,B,BC
73,ABCD,ABCD
74,A,ABC
75,D,BCD
76,CD,CD
77,A,BD
78,ACD,ABD
79,B,BC
80,ABCD,ABC
81,C,ACD
82,C,BC
83,B,ABC
84,B,BC
85,B,BCD
86,BCD,ABD
87,C,ACD
88,ACD,BD
89,C,ABC
90,C,AB
91,A,ABD
92,B,ABC
93,D,BCD
94,B,ABD
95,B,BC
96,B,AB
97,A,CD
98,D,CD
99,B,BC
100,ACD,AD
101,D,BD
102,B,ABD
103,D,AD
104,B,ABC
105,D,BD
106,C,ABC
107,C,ACD
108,ABC,ABC
109,BCD,BCD
110,C,ABCD
111,B,ABD
112,B,ABC
113,A,AD
114,BCD,ABCD
115,C,ABC
116,B,ACD
117,B,AC
118,D,CD
119,ACD,ABCD
120,B,AB
121,C,CD
122,ABCD,ABC
123,C,ABC
124,A,BCD
125,D,ABCD
126,ACD,ABCD
127,B,BCD
128,D,ACD
129,B,ABD
130,ACD,AC
131,A,AC
132,C,AC
133,D,BCD
134,D,AB
135,D,CD
136,ACD,BD
137,B,AC
138,B,ABC
139,C,ABD
140,D,BC
141,D,BCD
142,B,BCD
143,A,ACD
144,BCD,BCD
145,C,AD
146,ABD,AB
147,A,ABC
148,BCD,ABC
149,ABC,BC
150,A,ABCD
151,A,ABC
152,D,ABD
153,D,ABD
154,B,ABC
155,A,ABCD
156,C,BC
157,C,ABC
158,B,AB
159,A,ABCD
160,ABC,AD
161,B,AB
162,B,BCD
163,A,ABD
164,ABCD,ABC
165,C,BCD
166,ACD,AD
167,D,ABD
168,B,ACD
169,A,AC
170,A,AC
171,BCD,ABCD
172,B,BCD
173,D,ABCD
174,B,ACD
175,A,AD
176,B,ABC
177,B,CD
178,ACD,ABCD
179,B,ACD
180,BCD,ABCD
181,ABCD,ACD
182,D,CD
183,B,BC
184,A,ABC
185,D,BCD
186,A,AC
187,B,ABD
188,A,ABC
189,C,AC
190,D,BD
191,ACD,ABC
192,B,ABD
193,A,ACD
194,ACD,BCD
195,D,ABD
196,B,ABD
197,BCD,ACD
198,ABCD,ABC
199,D,AD
200,A,AC
201,D,ABC
202,D,ABC
203,B,AC
204,ABD,ABC
205,B,BC
206,A,AB
207,D,AC
208,A,AB
209,ACD,ACD
210,C,AC
211,A,ABCD
212,A,BD
213,A,AB
214,C,BCD
215,D,ABC
216,A,ABCD
217,A,AC
218,B,BCD
219,D,ACD
220,ACD,ACD
221,B,AC
222,A,AB
223,B,AB
224,D,ACD
225,C,AC
226,A,AC
227,D,ABD
228,B,ABD
229,BCD,BC
230,BCD,ABC
231,B,AD
232,C,ABC
233,ABCD,ABD
234,B,BC
235,A,ABC
236,C,BC
237,B,BD
238,B,AC
239,B,ABCD
240,D,ABC
241,A,AD
242,D,ACD
243,ACD,ACD
244,C,AC
245,BCD,ACD
246,A,AD
247,BCD,ABCD
248,D,ABCD
249,B,AC
250,D,ABCD
251,B,BCD
252,ACD,ACD
253,ACD,BCD
254,A,ABC
255,B,ABCD
256,A,ABC
257,C,BCD
258,D,AC
259,BCD,ACD
260,A,AC
261,B,ABCD
262,B,ACD
263,D,ABCD
264,D,ACD
265,A,BD
266,D,ACD
267,B,ABC
268,D,BCD
269,A,AC
270,B,BCD
271,B,ABD
272,B,BD
273,C,BC
274,B,AB
275,B,ABD
276,ACD,ACD
277,D,CD
278,C,ABC
279,D,AC
280,BCD,ACD
281,A,ACD
282,BCD,ABCD
283,ACD,ABC
284,BCD,BC
285,B,ABC
286,B,BCD
287,ABCD,AB
288,B,ABD
289,C,ABCD
290,B,BCD
291,D,ABCD
292,B,ABC
293,B,BCD
294,D,ACD
295,B,ABC
296,B,ABC
297,B,AB
298,D,AD
299,BCD,BC
300,A,AC
301,D,BCD
302,ACD,ABCD
303,A,AC
304,B,BC
305,B,ACD
306,D,BC
307,C,BD
308,B,AB
309,D,CD
310,ABC,ABC
311,B,BC
312,D,ABC
313,C,ACD
314,B,BD
315,C,ACD
316,ACD,ABC
317,D,BCD
318,B,ABCD
319,BCD,ABC
320,D,AC
321,D,AD
322,A,BC
323,C,BC
324,ABCD,ABCD
325,ACD,ACD
326,ACD,AD
327,D,ABCD
328,B,ABD
329,A,BCD
330,B,BC
331,C,AC
332,C,BCD
333,D,BD
334,A,ACD
335,A,ABCD
336,B,AB
337,B,ABC
338,D,AC
339,B,ABD
340,C,ACD
341,ABC,ABC
342,BCD,BCD
343,ABCD,ABD
344,BCD,ABCD
345,D,ABC
346,A,ABCD
347,C,BCD
348,B,BCD
349,ACD,ACD
350,B,ABCD
351,C,CD
352,A,ABD
353,BCD,ABC
354,ACD,AC
355,A,AC
356,BCD,ABCD
357,B,BCD
358,D,ACD
359,D,ABD
360,A,ABC
361,C,BCD
362,B,ABC
363,C,CD
364,A,AB
365,C,CD
366,A,ABCD
367,BCD,BCD
368,ABD,ABD
369,A,AC
370,C,BC
371,A,ABD
372,D,ABCD
373,A,ABC
374,D,BCD
375,D,ABC
376,D,ABD
377,ABCD,AC
378,B,ABCD
379,ABCD,ABCD
380,C,ACD
381,ABC,ABC
382,BCD,BCD
383,B,ABCD
384,BCD,ABC
385,D,BCD
386,D,ABD
387,C,ACD
388,C,BCD
389,D,ACD
390,B,BD
391,A,BCD
392,ACD,AD
393,BCD,ABCD
394,B,ABD
395,ABCD,ABCD
396,D,ABCD
397,C,AC
398,D,ABD
399,B,BC
400,B,ACD
401,D,BC
402,ACD,AC
403,D,BCD
404,A,ABC
405,B,ABC
406,D,ABCD
407,ACD,AD
408,B,AC
409,A,AD
410,B,ABD
411,C,BCD
412,D,ABD
413,B,AB
414,B,ABC
415,B,BD
416,BCD,ACD
417,B,ABCD
418,D,ABCD
419,B,ABC
420,B,AB
421,B,BD
422,D,CD
423,B,BC
424,B,BC
425,A,ABCD
426,BCD,ABD
427,BCD,ABC
428,D,ACD
429,B,AB
430,B,BD
431,B,BC
432,BCD,ABCD
433,B,AB
434,B,BC
435,BCD,ABCD
436,BCD,ABC
437,A,ABCD
438,B,BCD
439,ACD,ACD
440,ACD,ACD
441,ACD,ACD
442,A,BCD
443,B,AC
444,B,BD
445,ACD,ACD
446,D,ABD
447,D,BCD
448,B,ABCD
449,ABCD,ABCD
450,ACD,ACD
451,A,ABCD
452,B,BCD
453,D,ABCD
454,ABCD,BCD
455,D,ABD
456,BCD,CD
457,A,ABCD
458,ABCD,ABD
459,BCD,ACD
460,ABCD,ABD
461,BCD,ABCD
462,ACD,ABCD
463,ABCD,AD
464,C,BCD
465,B,ABCD
466,B,BC
467,ACD,ABCD
468,D,BD
469,B,BCD
470,A,AB
471,A,BCD
472,A,ABD
