,模型答案,真实答案
1,D,D
2,C,C
3,A,B
4,B,B
5,E,A
6,B,A
7,B,B
8,B,B
9,D,D
10,A,A
11,D,D
12,D,D
13,A,B
14,C,C
15,D,D
16,B,D
17,D,D
18,B,B
19,C,A
20,D,B
21,A,B
22,D,B
23,B,B
24,C,C
25,C,C
26,B,A
27,A,C
28,A,B
29,D,C
30,A,A
31,D,D
32,C,D
33,D,B
34,B,B
35,D,D
36,D,D
37,A,A
38,D,C
39,B,B
40,D,B
41,D,A
42,C,C
43,C,C
44,A,C
45,E,B
46,C,C
47,B,B
48,C,C
49,A,A
50,A,A
51,B,B
52,C,B
53,C,B
54,C,C
55,B,B
56,C,B
57,B,B
58,C,D
59,C,D
60,E,A
61,B,B
62,C,C
63,D,D
64,C,C
65,B,B
66,B,B
67,A,B
68,A,A
69,C,C
70,A,C
71,C,C
72,B,B
73,B,B
74,B,C
75,A,A
76,A,A
77,D,D
78,A,A
79,B,C
80,C,B
81,D,A
82,D,D
83,A,A
84,B,D
85,E,C
86,C,D
87,B,B
88,D,B
89,B,B
90,B,B
91,B,B
92,C,C
93,C,C
94,E,C
95,A,C
96,D,D
97,B,D
98,C,D
99,A,D
100,D,A
101,B,B
102,C,C
103,B,D
104,B,D
105,A,B
106,A,A
107,C,C
108,B,C
109,C,A
110,C,C
111,D,D
112,D,D
113,B,B
114,C,A
115,E,B
116,A,A
117,D,D
118,A,A
119,D,B
120,B,C
121,C,C
122,B,B
123,C,D
124,E,D
125,A,A
126,B,B
127,C,C
128,B,B
129,B,B
130,C,B
131,A,A
132,C,C
133,B,B
134,D,D
135,D,D
136,C,C
137,C,C
138,A,A
139,C,A
140,D,D
141,A,A
142,B,C
143,A,C
144,C,C
145,A,A
146,D,B
147,A,A
148,C,D
149,C,C
150,A,B
151,D,A
152,D,D
153,C,C
154,A,A
155,C,C
156,A,A
157,B,B
158,C,C
159,C,C
160,B,B
161,D,D
162,B,B
163,B,D
164,A,A
165,D,D
166,C,C
167,A,A
168,B,B
169,B,B
170,B,B
171,B,B
172,A,B
173,E,C
174,E,D
175,A,A
176,A,D
177,A,A
178,B,B
179,A,A
180,B,B
181,A,A
182,B,B
183,B,B
184,B,D
185,A,C
186,D,D
187,B,B
188,A,D
189,B,C
190,C,C
191,A,A
192,D,D
193,A,A
194,C,D
195,D,A
196,D,D
197,C,C
198,C,C
199,A,A
200,D,D
201,A,A
202,D,B
203,C,C
204,A,A
205,C,C
206,A,A
207,A,A
208,C,C
209,C,C
210,B,A
211,D,D
212,A,A
213,A,A
214,A,A
215,B,B
216,C,C
217,C,D
218,B,B
219,D,D
220,D,D
221,C,C
222,B,B
223,A,B
224,C,C
225,A,B
226,B,B
227,C,C
228,D,B
229,C,C
230,B,B
231,C,C
232,B,B
233,D,D
234,D,B
235,E,A
236,C,C
237,C,B
238,C,B
239,D,D
240,B,B
241,A,C
242,D,D
243,A,A
244,C,C
245,D,C
246,C,C
247,D,B
248,D,D
249,D,B
250,C,B
251,D,D
252,D,D
253,C,C
254,B,B
255,A,A
256,D,D
257,D,D
258,C,C
259,A,C
260,A,A
261,D,D
262,C,C
263,B,B
264,A,A
265,B,D
266,E,D
267,C,C
268,A,A
269,A,A
270,C,B
271,C,C
272,C,C
273,B,A
274,A,A
275,D,D
276,D,D
277,B,B
278,C,C
279,D,D
280,D,B
281,D,D
282,D,C
283,A,B
284,B,B
285,B,B
286,A,B
287,D,D
288,D,D
289,D,C
290,B,B
291,D,D
292,C,C
293,C,D
294,C,C
295,E,C
296,D,D
297,C,D
298,C,B
299,D,A
300,D,A
301,D,D
302,B,B
303,A,D
304,B,B
305,B,B
306,C,B
307,E,C
308,B,B
309,C,D
310,B,B
311,D,D
312,D,B
313,B,D
314,B,B
315,C,C
316,A,B
317,C,C
318,D,D
319,A,B
320,D,D
321,C,B
322,A,B
323,B,B
324,D,B
325,D,D
326,B,B
327,A,A
328,A,C
329,C,D
330,D,A
331,B,B
332,B,B
333,A,C
334,D,C
335,B,C
336,B,B
337,B,B
338,E,D
339,D,D
340,B,B
341,B,B
342,A,D
343,D,B
344,B,B
345,A,C
346,B,C
347,C,C
348,B,B
349,C,C
350,C,C
351,D,B
352,A,C
353,A,D
354,D,C
355,B,A
356,C,C
357,B,D
358,B,D
359,A,A
360,D,B
361,测评最终结果,共360题，227题正确，133题错误。正确率：63.05555555555556%
