,模型答案,真实答案
1,C,AC
2,A,ABD
3,A,ACD
4,B,AC
5,B,BC
6,B,AB
7,B,AB
8,B,BCD
9,ACD,BC
10,A,AD
11,B,AB
12,B,AB
13,A,ABCD
14,B,ABC
15,A,ABC
16,B,BC
17,A,ABCD
18,D,ABD
19,C,ABCD
20,B,BC
21,A,ABD
22,A,BC
23,B,BD
24,A,AC
25,B,ABD
26,B,BCD
27,B,BCD
28,B,ABC
29,B,ABC
30,B,ABCD
31,A,AD
32,C,AC
33,D,AD
34,A,ABD
35,A,AB
36,C,ABC
37,B,ABD
38,A,CD
39,B,ABD
40,D,ABCD
41,B,BD
42,C,CD
43,B,ABD
44,A,ABC
45,A,ACD
46,A,ACD
47,A,BD
48,ABC,ABD
49,C,ABD
50,B,ABCD
51,A,ABD
52,D,ACD
53,B,BD
54,B,ABC
55,B,ABD
56,B,BCD
57,A,BCD
58,C,ABCD
59,ACD,AC
60,A,AB
61,A,ACD
62,C,ABC
63,A,AD
64,C,ABCD
65,A,AC
66,B,ABD
67,A,ABCD
68,A,ABC
69,A,ACD
70,A,ABC
71,A,BCD
72,BCD,CD
73,A,ABC
74,BCD,ABCD
75,A,AC
76,ACD,AD
77,B,BCD
78,B,ABD
79,A,ABC
80,A,CD
81,ACD,ACD
82,A,AC
83,A,ACD
84,ACD,BCD
85,C,BC
86,A,ABC
87,BCD,BCD
88,A,BD
89,C,AB
90,C,BC
91,B,ABC
92,B,AB
93,C,BCD
94,A,AD
95,BCD,BC
96,C,ABC
97,B,BC
98,A,ABCD
99,A,ABD
100,B,AB
101,B,BCD
102,BCD,ABCD
103,B,ABC
104,D,CD
105,B,BCD
106,A,AB
107,A,BC
108,D,ACD
109,A,ACD
110,C,BCD
111,A,ABD
112,C,BD
113,A,ABD
114,C,AC
115,B,AB
116,B,ACD
117,B,CD
118,B,AD
119,B,AC
120,A,BC
121,A,AC
122,A,ABCD
123,A,AD
124,A,AB
125,B,BC
126,B,ABC
127,A,ABC
128,ACD,ABCD
129,C,ABC
130,C,CD
131,A,ABD
132,C,AC
133,B,ABC
134,D,BCD
135,C,CD
136,A,ABD
137,A,ACD
138,C,ABC
139,C,BC
140,A,ACD
141,B,BD
142,D,BC
143,B,ABD
144,B,BCD
145,B,BD
146,C,BCD
147,C,BCD
148,B,ABCD
149,C,AB
150,A,AD
151,B,ACD
152,B,ABD
153,A,ABC
154,D,ACD
155,B,ABC
156,A,ACD
157,A,CD
158,B,ABCD
159,D,AC
160,B,ABC
161,A,ABCD
162,A,AD
163,A,ABC
164,C,ACD
165,A,AB
166,A,ABD
167,B,ABC
168,B,ABCD
169,B,BD
170,A,AC
171,A,ABCD
172,B,ABC
173,C,ACD
174,ACD,AC
175,A,ABC
176,C,ABCD
177,B,ABC
178,A,AC
179,ACD,ABCD
180,B,ABCD
181,ABC,ABCD
182,A,ABC
183,A,ACD
184,ACD,BCD
185,C,CD
186,B,BD
187,B,ABC
188,A,AB
189,C,ABC
190,ABC,ABCD
191,C,AC
192,C,ACD
193,A,ABCD
194,B,ABC
195,C,AB
196,B,ABD
197,C,ACD
198,C,BCD
199,B,AB
200,B,CD
201,A,AB
202,D,AC
203,A,ABD
204,B,BD
205,B,BC
206,B,BD
207,ABC,AC
208,C,BC
209,A,AC
210,B,ABD
211,ACD,ABD
212,ABC,AB
213,A,AB
214,C,CD
215,C,CD
216,ACD,ABC
217,B,BC
218,B,AB
219,C,AC
220,A,ABC
221,B,BCD
222,A,BD
223,A,BC
224,A,ABCD
225,C,CD
226,B,BD
227,C,BCD
228,D,ABD
229,B,AB
230,B,ABC
231,B,ABC
232,A,AD
233,A,ABD
234,B,AD
235,A,AC
236,C,ABC
237,D,BCD
238,B,AB
239,B,ABD
240,A,CD
241,测评最终结果,共240题，2题完全正确，196题部分正确，42题多选或错选。严格正确率：0.8333333333333334%，弹性正确率：33.40277777777778%
