,模型答案,真实答案
1,C,AC
2,A,ABD
3,C,ACD
4,C,AC
5,C,BC
6,B,AB
7,B,AB
8,C,BCD
9,C,BC
10,A,AD
11,C,AB
12,ABD,AB
13,C,ABCD
14,E,ABC
15,C,ABC
16,C,BC
17,C,ABCD
18,B,ABD
19,ABCD,ABCD
20,B,BC
21,C,ABD
22,C,BC
23,C,BD
24,C,AC
25,A,ABD
26,C,BCD
27,B,BCD
28,C,ABC
29,B,ABC
30,C,ABCD
31,C,AD
32,C,AC
33,C,AD
34,C,ABD
35,C,AB
36,D,ABC
37,C,ABD
38,C,CD
39,D,ABD
40,C,ABCD
41,C,BD
42,C,CD
43,ABCD,ABD
44,C,ABC
45,C,ACD
46,C,ACD
47,C,BD
48,C,ABD
49,C,ABD
50,ABCD,ABCD
51,C,ABD
52,D,ACD
53,C,BD
54,C,ABC
55,C,ABD
56,D,BCD
57,C,BCD
58,C,ABCD
59,C,AC
60,C,AB
61,A,ACD
62,C,ABC
63,C,AD
64,C,ABCD
65,C,AC
66,B,ABD
67,C,ABCD
68,C,ABC
69,E,ACD
70,A,ABC
71,C,BCD
72,C,CD
73,C,ABC
74,C,ABCD
75,C,AC
76,C,AD
77,D,BCD
78,A,ABD
79,A,ABC
80,C,CD
81,A,ACD
82,C,AC
83,D,ACD
84,D,BCD
85,C,BC
86,ABC,ABC
87,C,BCD
88,D,BD
89,C,AB
90,C,BC
91,B,ABC
92,B,AB
93,C,BCD
94,D,AD
95,C,BC
96,C,ABC
97,C,BC
98,D,ABCD
99,AD,ABD
100,C,AB
101,C,BCD
102,C,ABCD
103,C,ABC
104,D,CD
105,C,BCD
106,D,AB
107,C,BC
108,C,ACD
109,A,ACD
110,C,BCD
111,D,ABD
112,C,BD
113,C,ABD
114,C,AC
115,C,AB
116,D,ACD
117,C,CD
118,C,AD
119,C,AC
120,C,BC
121,A,AC
122,ABD,ABCD
123,E,AD
124,D,AB
125,C,BC
126,C,ABC
127,C,ABC
128,D,ABCD
129,A,ABC
130,C,CD
131,D,ABD
132,C,AC
133,B,ABC
134,C,BCD
135,C,CD
136,ABD,ABD
137,C,ACD
138,C,ABC
139,B,BC
140,ACD,ACD
141,ABCD,BD
142,C,BC
143,C,ABD
144,C,BCD
145,C,BD
146,C,BCD
147,C,BCD
148,A,ABCD
149,C,AB
150,D,AD
151,C,ACD
152,C,ABD
153,C,ABC
154,C,ACD
155,C,ABC
156,C,ACD
157,C,CD
158,C,ABCD
159,C,AC
160,B,ABC
161,C,ABCD
162,C,AD
163,C,ABC
164,C,ACD
165,ABC,AB
166,D,ABD
167,C,ABC
168,B,ABCD
169,BD,BD
170,C,AC
171,D,ABCD
172,C,ABC
173,C,ACD
174,C,AC
175,C,ABC
176,C,ABCD
177,C,ABC
178,C,AC
179,D,ABCD
180,C,ABCD
181,D,ABCD
182,C,ABC
183,C,ACD
184,C,BCD
185,C,CD
186,D,BD
187,B,ABC
188,C,AB
189,C,ABC
190,C,ABCD
191,C,AC
192,C,ACD
193,D,ABCD
194,C,ABC
195,C,AB
196,B,ABD
197,C,ACD
198,C,BCD
199,C,AB
200,D,CD
201,C,AB
202,C,AC
203,A,ABD
204,B,BD
205,C,BC
206,C,BD
207,C,AC
208,C,BC
209,C,AC
210,ABD,ABD
211,D,ABD
212,A,AB
213,A,AB
214,D,CD
215,C,CD
216,C,ABC
217,C,BC
218,A,AB
219,C,AC
220,C,ABC
221,C,BCD
222,C,BD
223,C,BC
224,C,ABCD
225,C,CD
226,D,BD
227,C,BCD
228,D,ABD
229,B,AB
230,C,ABC
231,C,ABC
232,A,AD
233,C,ABD
234,C,AD
235,D,AC
236,D,ABC
237,C,BCD
238,D,AB
239,C,ABD
240,C,CD
241,测评最终结果,共240题，7题完全正确，182题部分正确，51题多选或错选。严格正确率：2.9166666666666665%，弹性正确率：32.500000000000014%
