,模型答案,真实答案
1,C,AC
2,ABCD,ABD
3,ABCD,ACD
4,A,AC
5,ABCD,BC
6,ABCD,AB
7,ABCD,AB
8,ABCD,BCD
9,ABCD,BC
10,C,AD
11,C,AB
12,A,AB
13,ABCD,ABCD
14,ABCD,ABC
15,ABCD,ABC
16,A,BC
17,ABCD,ABCD
18,ABCD,ABD
19,ABCD,ABCD
20,A,BC
21,A,ABD
22,ABC,BC
23,ABCD,BD
24,ABCD,AC
25,ABCD,ABD
26,ABCD,BCD
27,ABCD,BCD
28,ABCD,ABC
29,ABC,ABC
30,A,ABCD
31,A,AD
32,A,AC
33,ABCD,AD
34,ABCD,ABD
35,A,AB
36,ABCD,ABC
37,ABCD,ABD
38,A,CD
39,ABCD,ABD
40,A,ABCD
41,A,BD
42,A,CD
43,ABCD,ABD
44,A,ABC
45,ABC,ACD
46,ABCD,ACD
47,ABCD,BD
48,A,ABD
49,ABCD,ABD
50,A,ABCD
51,ABCD,ABD
52,ABCD,ACD
53,ABCD,BD
54,A,ABC
55,ABCD,ABD
56,ABCD,BCD
57,A,BCD
58,ABCD,ABCD
59,B,AC
60,A,AB
61,A,ACD
62,ABCD,ABC
63,A,AD
64,ABC,ABCD
65,A,AC
66,C,ABD
67,A,ABCD
68,ABCD,ABC
69,A,ACD
70,ABCD,ABC
71,A,BCD
72,ABCD,CD
73,ABCD,ABC
74,ABCD,ABCD
75,ABCD,AC
76,C,AD
77,ABC,BCD
78,C,ABD
79,ABCD,ABC
80,ABC,CD
81,AC,ACD
82,AC,AC
83,ABCD,ACD
84,ABCD,BCD
85,ABCD,BC
86,ABCD,ABC
87,ABCD,BCD
88,ABCD,BD
89,ABCD,AB
90,ABCD,BC
91,ABCD,ABC
92,ABCD,AB
93,ABCD,BCD
94,ABCD,AD
95,ABCD,BC
96,ABCD,ABC
97,A,BC
98,ABCD,ABCD
99,ABCD,ABD
100,ABCD,AB
101,ABCD,BCD
102,ABCD,ABCD
103,ABCD,ABC
104,ABCD,CD
105,ABCD,BCD
106,ABC,AB
107,ABCD,BC
108,ABCD,ACD
109,ABCD,ACD
110,ABC,BCD
111,ABCD,ABD
112,ABCD,BD
113,ABCD,ABD
114,ABCD,AC
115,B,AB
116,ABCD,ACD
117,ABC,CD
118,ABCD,AD
119,ABCD,AC
120,ABCD,BC
121,AC,AC
122,ABCD,ABCD
123,ABCD,AD
124,AC,AB
125,ABCD,BC
126,ABCD,ABC
127,ABCD,ABC
128,ABC,ABCD
129,ABCD,ABC
130,ABCD,CD
131,ABC,ABD
132,ABCD,AC
133,ABCD,ABC
134,ABCD,BCD
135,ABCD,CD
136,ABCD,ABD
137,ABCD,ACD
138,ABCD,ABC
139,AC,BC
140,ABCD,ACD
141,ABCD,BD
142,AC,BC
143,ABC,ABD
144,ABCD,BCD
145,ABCD,BD
146,ABC,BCD
147,ABCD,BCD
148,ABCD,ABCD
149,ABCD,AB
150,ABCD,AD
151,ABCD,ACD
152,ABC,ABD
153,ABCD,ABC
154,ABCD,ACD
155,ABC,ABC
156,ABCD,ACD
157,ABCD,CD
158,ABC,ABCD
159,ABCD,AC
160,ABCD,ABC
161,ABCD,ABCD
162,ABCD,AD
163,A,ABC
164,ABCD,ACD
165,A,AB
166,C,ABD
167,ABCD,ABC
168,C,ABCD
169,B,BD
170,A,AC
171,ABCD,ABCD
172,A,ABC
173,ABCD,ACD
174,A,AC
175,ABCD,ABC
176,A,ABCD
177,ABCD,ABC
178,ABC,AC
179,ABC,ABCD
180,ABCD,ABCD
181,B,ABCD
182,A,ABC
183,ABCD,ACD
184,C,BCD
185,ABC,CD
186,C,BD
187,A,ABC
188,A,AB
189,ABCD,ABC
190,D,ABCD
191,A,AC
192,B,ACD
193,B,ABCD
194,ABC,ABC
195,ABCD,AB
196,ABCD,ABD
197,C,ACD
198,ABCD,BCD
199,ABC,AB
200,ABC,CD
201,ABCD,AB
202,ABCD,AC
203,ABC,ABD
204,ABCD,BD
205,B,BC
206,ABCD,BD
207,ABCD,AC
208,ABCD,BC
209,ABCD,AC
210,ABCD,ABD
211,C,ABD
212,C,AB
213,B,AB
214,B,CD
215,B,CD
216,A,ABC
217,ABCD,BC
218,ABCD,AB
219,ABC,AC
220,ABCD,ABC
221,ABCD,BCD
222,A,BD
223,ABC,BC
224,ABCD,ABCD
225,A,CD
226,ABCD,BD
227,ABCD,BCD
228,ABCD,ABD
229,A,AB
230,D,ABC
231,ABC,ABC
232,A,AD
233,ABCD,ABD
234,A,AD
235,ABCD,AC
236,ABCD,ABC
237,A,BCD
238,ABC,AB
239,ABCD,ABD
240,A,CD
241,测评最终结果,共240题，19题完全正确，48题部分正确，173题多选或错选。严格正确率：7.916666666666666%，弹性正确率：16.5625%
