,模型答案,真实答案
1,A,D
2,D,C
3,A,B
4,D,B
5,A,A
6,B,A
7,A,B
8,B,B
9,A,D
10,A,A
11,D,D
12,B,D
13,A,B
14,C,C
15,D,D
16,B,D
17,D,D
18,D,B
19,B,A
20,A,B
21,B,B
22,B,B
23,B,B
24,C,C
25,B,C
26,C,A
27,A,C
28,C,B
29,C,C
30,A,A
31,B,D
32,C,D
33,D,B
34,B,B
35,A,D
36,D,D
37,A,A
38,B,C
39,C,B
40,B,B
41,A,A
42,C,C
43,C,C
44,B,C
45,D,B
46,C,C
47,B,B
48,A,C
49,A,A
50,A,A
51,B,B
52,B,B
53,A,B
54,A,C
55,B,B
56,D,B
57,B,B
58,B,D
59,B,D
60,A,A
61,B,B
62,C,C
63,B,D
64,C,C
65,B,B
66,B,B
67,D,B
68,A,A
69,C,C
70,C,C
71,A,C
72,C,B
73,B,B
74,B,C
75,A,A
76,D,A
77,D,D
78,D,A
79,B,C
80,C,B
81,B,A
82,C,D
83,A,A
84,B,D
85,D,C
86,C,D
87,B,B
88,B,B
89,B,B
90,B,B
91,A,B
92,C,C
93,B,C
94,D,C
95,C,C
96,A,D
97,B,D
98,C,D
99,B,D
100,C,A
101,C,B
102,D,C
103,B,D
104,B,D
105,D,B
106,A,A
107,C,C
108,B,C
109,C,A
110,C,C
111,C,D
112,D,D
113,A,B
114,C,A
115,B,B
116,A,A
117,B,D
118,B,A
119,A,B
120,B,C
121,C,C
122,B,B
123,C,D
124,C,D
125,A,A
126,B,B
127,C,C
128,A,B
129,B,B
130,C,B
131,A,A
132,C,C
133,A,B
134,D,D
135,D,D
136,B,C
137,C,C
138,D,A
139,B,A
140,D,D
141,A,A
142,B,C
143,C,C
144,B,C
145,A,A
146,B,B
147,B,A
148,C,D
149,A,C
150,B,B
151,C,A
152,A,D
153,B,C
154,B,A
155,C,C
156,C,A
157,B,B
158,B,C
159,C,C
160,B,B
161,C,D
162,B,B
163,B,D
164,A,A
165,C,D
166,C,C
167,A,A
168,B,B
169,B,B
170,B,B
171,B,B
172,A,B
173,B,C
174,B,D
175,A,A
176,A,D
177,A,A
178,D,B
179,A,A
180,A,B
181,C,A
182,B,B
183,B,B
184,C,D
185,A,C
186,D,D
187,C,B
188,B,D
189,B,C
190,C,C
191,A,A
192,D,D
193,C,A
194,C,D
195,A,A
196,A,D
197,C,C
198,A,C
199,A,A
200,A,D
201,B,A
202,A,B
203,C,C
204,A,A
205,A,C
206,D,A
207,A,A
208,C,C
209,A,C
210,B,A
211,D,D
212,A,A
213,A,A
214,A,A
215,B,B
216,D,C
217,D,D
218,B,B
219,C,D
220,C,D
221,B,C
222,B,B
223,A,B
224,C,C
225,A,B
226,B,B
227,C,C
228,D,B
229,B,C
230,B,B
231,A,C
232,B,B
233,B,D
234,B,B
235,B,A
236,A,C
237,A,B
238,A,B
239,D,D
240,B,B
241,A,C
242,A,D
243,A,A
244,C,C
245,C,C
246,C,C
247,A,B
248,B,D
249,C,B
250,B,B
251,D,D
252,D,D
253,C,C
254,C,B
255,B,A
256,A,D
257,A,D
258,B,C
259,D,C
260,A,A
261,B,D
262,C,C
263,B,B
264,B,A
265,A,D
266,C,D
267,C,C
268,A,A
269,A,A
270,D,B
271,C,C
272,A,C
273,B,A
274,A,A
275,A,D
276,D,D
277,B,B
278,C,C
279,C,D
280,A,B
281,C,D
282,B,C
283,A,B
284,D,B
285,D,B
286,B,B
287,B,D
288,D,D
289,C,C
290,B,B
291,B,D
292,D,C
293,B,D
294,B,C
295,D,C
296,B,D
297,B,D
298,B,B
299,B,A
300,D,A
301,D,D
302,C,B
303,B,D
304,B,B
305,D,B
306,A,B
307,C,C
308,B,B
309,C,D
310,C,B
311,D,D
312,B,B
313,A,D
314,B,B
315,A,C
316,B,B
317,C,C
318,D,D
319,C,B
320,C,D
321,B,B
322,B,B
323,B,B
324,A,B
325,C,D
326,B,B
327,C,A
328,A,C
329,C,D
330,A,A
331,C,B
332,B,B
333,A,C
334,B,C
335,B,C
336,B,B
337,C,B
338,C,D
339,A,D
340,B,B
341,D,B
342,B,D
343,B,B
344,B,B
345,A,C
346,A,C
347,D,C
348,D,B
349,C,C
350,B,C
351,B,B
352,D,C
353,D,D
354,C,C
355,A,A
356,B,C
357,B,D
358,B,D
359,C,A
360,B,B
361,测评最终结果,共360题，164题正确，196题错误。正确率：45.55555555555556%
