,题号,模型答案,正确答案
1,1.1,C,C
2,1.2,C,BC
3,1.3,C,B
4,1.4,B,B
5,1.5,C,C
6,1.6,C,BD
7,1.7,CD,ABC
8,1.8,ACD,AC
9,1.9,AB,AB
10,1.10,ABCD,ABCD
11,2.1,B,B
12,2.2,BD,BCD
13,2.3,B,B
14,2.4,B,AB
15,2.5,C,AC
16,2.6,BD,AD
17,2.7,B,B
18,2.8,B,D
19,2.9,C,C
20,2.10,D,D
21,3.1,AD,AD
22,3.2,AC,AC
23,3.3,ACD,AC
24,3.4,C,C
25,3.5,A,B
26,3.6,BCD,BD
27,3.7,B,B
28,3.8,D,D
29,3.9,D,D
30,3.10,AC,AC
31,4.1,A,A
32,4.2,C,C
33,4.3,C,C
34,4.4,B,D
35,4.5,D,D
36,4.6,C,C
37,4.7,ACD,ABCD
38,4.8,BD,ABCD
39,4.9,C,C
40,4.10,B,ABC
41,5.1,D,D
42,5.2,AD,AC
43,5.3,C,ABD
44,5.4,A,AC
45,5.5,C,B
46,5.6,C,A
47,5.7,D,C
48,5.8,C,B
49,5.9,B,ABD
50,5.10,C,ABCD
51,6.1,ABCD,ABD
52,6.2,B,D
53,6.3,C,C
54,6.4,AD,ABC
55,6.5,AC,BC
56,6.6,B,B
57,6.7,B,B
58,6.8,B,BD
59,6.9,D,D
60,6.10,ABC,ABC
61,7.1,B,B
62,7.2,ABD,ABC
63,7.3,D,ABD
64,7.4,D,ABC
65,7.5,BC,BC
66,7.6,ACD,ABCD
67,7.7,AC,AC
68,7.8,BC,ABD
69,7.9,D,BCD
70,7.10,C,D
71,8.1,B,ABD
72,8.2,A,D
73,8.3,B,B
74,8.4,ABCD,ACD
75,8.5,A,ABCD
76,8.6,A,C
77,8.7,D,ABCD
78,8.8,B,ABCD
79,8.9,AC,AC
80,8.10,B,B
81,9.1,BD,BD
82,9.2,C,ABD
83,9.3,B,C
84,9.4,B,B
85,9.5,D,CD
86,9.6,BD,BCD
87,9.7,B,B
88,9.8,A,ABD
89,9.9,C,BC
90,9.10,D,C
91,10.1,AB,AB
92,10.2,C,D
93,10.3,D,D
94,10.4,B,B
95,10.5,AD,AC
96,10.6,C,B
97,10.7,BCD,AC
98,10.8,A,A
99,10.9,BC,BC
100,10.10,B,B
101,11.1,B,ABD
102,11.2,C,C
103,11.3,B,D
104,11.4,B,AB
105,11.5,C,ABC
106,11.6,C,A
107,11.7,D,D
108,11.8,B,D
109,11.9,C,BCD
110,11.10,B,AB
111,12.1,ABD,ABD
112,12.2,A,C
113,12.3,C,C
114,12.4,D,D
115,12.5,BD,ABD
116,12.6,C,C
117,12.7,A,A
118,12.8,B,D
119,12.9,D,D
120,12.10,D,D
121,13.1,D,D
122,13.2,ACD,AC
123,13.3,C,ABD
124,13.4,A,AC
125,13.5,C,B
126,13.6,BCD,BCD
127,13.7,C,B
128,13.8,B,ABD
129,13.9,C,ABCD
130,14.1,D,D
131,14.2,BD,BD
132,14.3,B,B
133,14.4,BD,BCD
134,14.5,ABCD,ABC
135,14.6,AD,AC
136,14.7,BC,BC
137,15.1,B,ABD
138,15.2,A,D
139,15.3,B,B
140,15.4,ABCD,ACD
141,15.5,B,ABCD
142,15.6,B,C
143,15.7,D,ABCD
144,15.8,B,ABCD
145,15.9,AC,AC
146,15.10,ABCD,ACD
147,16.1,ABCD,ACD
148,16.2,D,D
149,16.3,AC,AC
150,16.4,B,B
151,16.5,AC,ABD
152,16.6,B,D
153,16.7,D,ABC
154,16.8,C,BD
155,16.9,B,BCD
156,16.10,B,B
157,17.1,AC,ABD
158,17.2,B,B
159,17.3,C,C
160,17.4,D,D
161,17.5,B,C
162,17.6,C,B
163,17.7,B,B
164,17.8,B,B
165,17.9,BC,BCD
166,18.1,B,C
167,18.2,AB,BC
168,18.3,D,BD
169,18.4,D,A
170,18.5,C,A
171,18.6,A,C
172,18.7,B,C
173,18.8,BC,ABC
174,18.9,A,A
175,18.10,A,A
176,19.1,B,B
177,19.2,B,D
178,19.3,ABCD,ABD
179,19.4,A,无标准答案
180,19.5,D,D
181,19.6,C,B
182,19.7,AB,AC
183,19.8,B,BD
184,19.9,C,D
185,19.10,B,B
186,20.1,ABD,BCD
187,20.2,C,D
188,20.3,B,D
189,20.4,C,C
190,20.5,BD,AB
191,20.6,B,B
192,20.7,A,AB
193,20.8,C,A
194,20.9,C,D
195,20.10,D,D
196,21.1,BC,ABCD
197,21.2,B,D
198,21.3,B,D
199,21.4,A,A
200,21.5,C,BD
201,22.1,AB,AB
202,22.2,AD,AD
203,22.3,C,C
204,22.4,D,D
205,22.5,D,C
206,22.6,D,D
207,22.7,A,C
208,22.8,AD,ACD
209,22.9,B,B
210,22.10,ABC,ABC
211,23.1,AB,AB
212,23.2,BC,ABC
213,23.3,B,A
214,23.4,A,B
215,23.5,B,BD
216,23.6,CD,BCD
217,23.7,BD,ACD
218,23.8,B,A
219,23.9,B,BCD
220,23.10,C,C
221,24.1,D,D
222,24.2,B,B
223,24.3,A,A
224,24.4,B,A
225,24.5,C,C
226,24.6,B,B
227,24.7,AC,ACD
228,24.8,BD,BD
229,24.9,ABCD,ABD
230,24.10,ACD,BC
231,25.1,BD,BD
232,25.2,D,D
233,25.3,C,AC
234,25.4,D,D
235,25.5,B,B
236,25.6,AD,ABD
237,25.7,ABD,ABCD
238,25.8,BD,BCD
239,25.9,AB,AB
240,25.10,B,B
241,26.1,AB,AB
242,26.2,ACD,ACD
243,26.3,BC,BC
244,26.4,B,B
245,26.5,B,B
246,26.6,B,B
247,26.7,C,ABCD
248,26.8,BD,ABCD
249,26.9,CD,CD
250,26.10,C,BC
251,27.1,C,C
252,27.2,BD,BD
253,27.3,B,A
254,27.4,AB,AB
255,27.5,CD,ABCD
256,27.6,BC,BC
257,27.7,ABCD,ABC
258,27.8,AD,ACD
259,27.9,BC,ABD
260,27.10,B,B
261,28.1,ACD,ACD
262,28.2,A,ABC
263,28.3,C,A
264,28.4,ABCD,ABD
265,28.5,A,B
266,28.6,B,D
267,28.7,A,A
268,28.8,C,C
269,28.9,C,C
270,28.10,B,BD
271,29.1,C,BCD
272,29.2,C,C
273,29.3,CD,CD
274,29.4,A,A
275,29.5,C,C
276,29.6,B,BC
277,29.7,ACD,ABD
278,29.8,AB,ABCD
279,29.9,AC,ABD
280,29.10,A,B
281,30.1,D,C
282,30.2,C,CD
283,30.3,ABCD,ABD
284,30.4,D,B
285,30.5,A,C
286,30.6,C,C
287,30.7,ABCD,CD
288,30.8,A,A
289,30.9,AC,AC
290,30.10,AD,AD
291,31.1,A,AC
292,31.2,BC,BC
293,31.3,ABD,ACD
294,31.4,D,C
295,31.5,C,C
296,31.6,B,C
297,31.7,C,D
298,31.8,C,C
299,31.9,B,ABD
300,31.10,B,D
301,32.1,B,ACD
302,32.2,AC,AC
303,32.3,A,C
304,32.4,C,B
305,32.5,D,D
306,32.6,BCD,ABCD
307,32.7,A,AC
308,32.8,A,A
309,32.9,C,D
310,32.10,C,D
311,33.1,BD,ACD
312,33.2,ABCD,ABCD
313,33.3,AC,BC
314,33.4,A,A
315,33.5,AC,BCD
316,33.6,C,BC
317,33.7,ABC,ABC
318,33.8,AC,AC
319,33.9,C,C
320,33.10,A,BC
321,34.1,AD,AD
322,34.2,C,C
323,34.3,A,AC
324,34.4,AB,ABC
325,34.5,C,C
326,34.6,D,D
327,34.7,D,BCD
328,34.8,D,BD
329,34.9,C,C
330,34.10,D,D
331,34.11,B,D
332,34.12,CD,CD
333,35.1,C,C
334,35.2,B,B
335,35.3,D,D
336,35.4,AD,ABCD
337,35.5,C,C
338,35.6,A,D
339,35.7,A,C
340,35.8,BC,ABCD
341,35.9,D,D
342,36.1,C,C
343,36.2,C,A
344,36.3,C,B
345,36.4,BD,ABD
346,36.5,C,D
347,36.6,B,C
348,36.7,C,C
349,36.8,B,A
350,36.9,C,AB
351,36.10,B,D
352,37.1,C,C
353,37.2,ABD,ABD
354,37.3,C,AC
355,37.4,B,B
356,37.5,B,C
357,37.6,C,C
358,37.7,ABCD,ABD
359,37.8,BCD,AB
360,37.9,C,BC
361,37.10,AB,ABC
362,38.1,B,B
363,38.2,C,C
364,38.3,C,D
365,38.4,C,C
366,38.5,ABCD,ABC
367,38.6,A,B
368,38.7,B,D
369,38.8,D,D
370,38.9,C,C
371,39.1,BC,BC
372,39.2,C,D
373,39.3,D,D
374,39.4,B,B
375,39.5,AD,AC
376,39.6,C,A
377,39.7,C,C
378,39.8,A,A
379,39.9,BC,BC
380,39.10,B,B
381,40.1,AD,ACD
382,40.2,B,D
383,40.3,B,B
384,40.4,ACD,AD
385,40.5,CD,AD
386,40.6,D,B
387,40.7,AD,ACD
388,40.8,C,C
389,40.9,D,D
390,40.10,A,ABC
391,41.1,D,D
392,41.2,BC,ABCD
393,41.3,B,A
394,41.4,C,C
395,41.5,D,C
396,41.6,C,AC
397,41.7,BD,AC
398,41.8,C,A
399,41.9,AD,ACD
400,41.10,C,B
401,42.1,AD,AD
402,42.2,ABCD,ABD
403,42.3,B,B
404,42.4,C,C
405,42.5,D,D
406,42.6,D,C
407,42.7,D,C
408,42.8,D,D
409,42.9,D,B
410,42.10,C,B
411,42.11,D,B
412,42.12,B,B
413,42.13,D,D
414,42.14,D,D
415,42.15,AB,BCD
416,43.1,ABD,BCD
417,43.2,AC,ACD
418,43.3,C,B
419,43.4,C,C
420,43.5,C,C
421,43.6,AB,ABCD
422,43.7,D,C
423,43.8,C,D
424,43.9,ABD,ABD
425,43.10,BD,BD
426,44.1,D,D
427,44.2,AD,ABC
428,44.3,B,B
429,44.4,BC,BC
430,44.5,CD,ABD
431,44.6,A,D
432,44.7,A,B
433,44.8,A,BCD
434,45.1,BC,BC
435,45.2,A,A
436,45.3,AD,ACD
437,45.4,D,D
438,45.5,A,ABCD
439,45.6,A,C
440,45.7,ABCD,ABC
441,45.8,AC,AC
442,45.9,ACD,ACD
443,45.10,ABD,ABD
444,46.1,C,C
445,46.2,B,C
446,46.3,B,A
447,46.4,A,B
448,46.5,B,B
449,46.6,B,D
450,46.7,B,AB
451,46.8,B,D
452,46.9,AD,ABC
453,46.10,C,C
454,47.1,ABD,ABD
455,47.2,A,C
456,47.3,CD,AC
457,47.4,BD,ABD
458,47.5,C,C
459,47.6,A,A
460,47.7,B,D
461,,测评最终结果,共47道大题，460道具体题目。其中，197题完全正确，91题部分正确，172题多选或错选，0题未答或漏答。严格正确率：42.82608695652174%，弹性正确率：52.53623188405797%
