,题号,模型答案,正确答案
1,1.1,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：1．按照贝克的理论，说出该求助者的歪曲认知及其特点。（15分）
你的解答是（仅回复你对这个问题的回答）：",按照贝克的理论，该救助者的歪曲认识及其特点如下：1）“我觉得主要原因是对方嫌弃我只是大专学历”（1分），特点：选择性概括（1分）。2）“我觉得自己没有本事”（1分），特点：选择性概括（1分）。3）“这说明我命运不好”（1分），特点：贴标签，错贴标签（1分）。4）“我觉得自己这辈子肯定是完了”（2分），特点：主观推断（2分）。5）“我觉得自己很失败”（1分），特点：主观推断（2分）。6）“但儿子不争气”（1分），特点：贴标签，错贴标签（1分）。
2,1.2,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：2．请说出对该求助者的诊断及诊断依据。（20分）
你的解答是（仅回复你对这个问题的回答）：",1）对该求助者的诊断是抑郁性神经症。（1分）2）诊断依据①求助者无幻觉、妄想等精神病性症状，可以排除精神病性障碍。（2分）②求助者虽然具有“情绪低落、兴趣减退、精神疲乏、对前途悲观失望”等症状，但其症状持续时间已经超过2年，可以排除心境障碍的抑郁发作。（2分）③求助者目前的问题与现实无明显关系，也不含道德色彩，属于变形冲突。（3分）根据许又新教授神经症的评定标准，以下是该求助者情况。病程：超过2年，评3分；（2分）精神痛苦程度：痛苦难以摆脱，评3分；（2分）社会功能：工作受到影响，但可以工作，评2分；（2分）总分为8分，且无明显器质性病变，故神经症诊断成立。（3分）④求助者以“情绪低落悲观（1分），兴趣减退（1分），精神疲惫、对前途悲观失望（1分），自我评价下降”等为主要症状，故诊断为抑郁性神经症。
3,1.3,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：3．请分析求助者产生心理问题的原因。（15分）
你的解答是（仅回复你对这个问题的回答）：",该求助者产生心理问题的原因包括：1）生物性原因（2分）：未见明显生物性原因。（1分）2）社会性原因（2分）①生长于普通工人家庭，家教传统。（1分）②曾经历过失恋、升迁不利等负性事件。（1分）③缺乏有效的社会支持系统的帮助。（1分）3）心理原因（2分）①内向。（1分）②长期受负性情绪困扰不能摆脱。（1分）③存在明显的不理性认知。（2分）④缺乏良好的行为模式。（1分）
4,1.4,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：4．咨询师在咨询中对求助者表达共情时要注意什么？（10分）
你的解答是（仅回复你对这个问题的回答）：",咨询师对求助者表达共情时，应该注意：1）咨询师应从求助者而不是自己的角度来看待求助者及其存在的问题。（2分）2）共情不是要求咨询师必须有与求助者相似的经历感受，而是能设身处地地理解。（2分）3）表达共情应因人而异。（1分）4）表达共情应把握时机，共情应适度。（1分）5）表达共情要善于把握角色。（1分）6）表达共情要善于使用躯体语言。（1分）7）表达共情要考虑求助者的特点与文化特征。（1分）8）咨询师应验证自己是否与求助者产生共情。（1分）
5,1.5,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：5．在本案例咨询中与求助者商定咨询目标时，要注意些什么？（10分）
你的解答是（仅回复你对这个问题的回答）：",1）咨询目标应由双方共同商定。（2分）2）商定咨询目标的时机应该在经过心理诊断之后。（1分）3）商定的咨询目标应具备如下特征：①属于心理学范畴。（1分）②积极的。（1分）③具体（或量化）的。（1分）④可行的。（1分）⑤可以评估的。（1分）⑥双方接受的。（1分）⑦多层次统一的。（1分）
6,1.6,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：6．在本案例中使用了认知行为疗法，请说出其特点。（10分）
你的解答是（仅回复你对这个问题的回答）：",认知行为疗法的特点是：1）求助者和咨询师是合作关系。（2分）2）假设心理痛苦在很大程度上是认知过程发生机能障碍的结果。（3分）3）强调改变认知，从而产生情感与行为方面的改变。（3分）4）认知行为疗法通常是一种针对具体的和结构性的目标问题的短期和教育性的治疗。（2分）
7,1.7,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：7．在本案例中使用了认知行为疗法，请说出贝克提出的五种具体认知治疗技术。（10分）
你的解答是（仅回复你对这个问题的回答）：",贝克提出的五种具体认知治疗技术是：1）识别自动性思维。（2分）2）识别认知性错误。（2分）3）真实性验证。（2分）4）去中心化。（2分）5）抑郁或焦虑水平的监控。（2分）
8,1.8,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，50岁，汉族，已婚，机关公务员。】
**心理咨询内容如下**：【求助者自述：我高考时没有发挥好，只考取了大专，当时虽然苦恼，但毕竟那时考上大学的人不多，不久就释然了。毕业后进了机关，当时待遇较好，过了一段好日子。但恋爱时经历了很大的痛苦，曾经失恋2次，我觉得主要原因是对方嫌弃我只是大专学历。30岁才娶妻生子，所以我觉得自己没有本事。我要强，在工作上很努力，曾经有几次晋升的机会，我努力争取了，但最终都没成功，这说明我命运不好，50岁了还只是副主任科员。别人劝我说还有机会，但我觉得自己这辈子肯定是完了，就把希望寄托在儿子身上，但儿子不争气，只考上了普通大学。多年来看我所走过的路，我觉得自己很失败，内心很痛苦。我现在什么都不想了，觉得没有什么意思，对升职、旅游、出国、聚会等都不感兴趣，能推就推，能躲就躲。领导说我情绪低落，工作受到影响，让我做做心理咨询，我觉得帮助不大。朋友、妻子总劝我要高兴起来，我有时也想高兴一些，不能一辈子就这么完了，但就是高兴不起来。有时我觉得活着真是没有意思，不如死了算了，但想着年近八旬的双亲，又难以下决心。我自己也觉得自己有问题，不应该这样消沉，也曾挣扎过，但就是难以摆脱，特别烦。很长时间了，我总是觉得浑身难受，经常头晕、乏力，没有胃口，不想吃东西，晚上要靠安眠药才能入睡。我实在是太难受了，所以我就来咨询了。
心理咨询师观察了解到的情况：求助者生于普通工人家庭，家庭教育传统。本人较内向，做事认真谨慎，工作勤奋努力，人际关系一般。以往身体健康，近年来单位多次组织体检，未见明显器质性病变。有多年吸烟史，每天10余支，较少饮酒。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：8．在本案例咨询中，咨询师还使用了求助者中心疗法，请说出按照艾根（Egan）的观点，坦诚交流包括哪些内容。（10分）
你的解答是（仅回复你对这个问题的回答）：",按照艾根（Egan）的观点，坦诚交流包括：1）不固定角色。（2分）2）自发性。（2分）3）无防御反应。（2分）4）一致性。（2分）5）自我的交流。（2分）
9,2.1,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，51岁，汉族，已婚，出租车司机。】
**心理咨询内容如下**：【求助者是家中长子，弟兄姐妹5人，弟妹们婚后纷纷搬出老宅子单过，有的还迁走了户口。求助者始终与父母同住，赡养老人。虽然家庭经济条件一般，但日子过得很平静。三年前村镇改造，家中分得三套房子和三百多万元补偿款。父母委托求助者办理房子和钱的分配事宜，求助者建议房子一套给父母，一套自己居住，一套给没有房子的三弟住，补偿款5个子女均分。但户口没迁走的弟妹也要求分得房子，而户口已经迁走的弟妹话里话外的意思也是房子要均分。有人提出，房子只有三套，确实没法均分，但应该由获得房产的人给其他兄弟姐妹货币补偿。求助者认为弟妹们见钱眼开，自己辛辛苦苦照顾父母，他们实在不该和自己争房产，为此很生气，坚持按自己的建议办。由于没法达成一致的意见，其他弟兄姐妹将求助者告到了法院，最终求助者败诉。求助者不服，提出上诉，但最终还是败了官司。求助者非常生气，因血压高住进医院。兄弟姐妹不来看他反而认为他不讲理，妻子、孩子觉得他无能。面对法院判决，他觉得法院不公平，认为自己输得很窝囊，觉得很无奈，很无助。出院后兄弟姐妹要求求助者执行法院的判决，但求助者无论如何也接受不了，他根本不想这样做，但不办可能面临再次起诉或强制执行。求助者曾经想过一些方法来化解矛盾，但起不到根本的作用。随着时间的推移，求助者的烦恼越来越强烈。求助者恨自己无能，很想摆脱苦恼，但根本无法摆脱，内心非常痛苦。现在求助者每天硬着头皮出车，不与兄弟姐妹来往，疲于应付父母，朋友、同事间的来往，能推就推。经常觉得头晕、心慌、憋气，乏力，没有胃口，经常借酒消愁，晚上经常失眠，有时就是睡着了第二天也觉得很累。求助者感觉自己就像丢了魂，总是高兴不起来，对什么都不感兴趣，时常莫名其妙地发脾气。想通过心理咨询解决这些问题。
心理咨询师观察了解到的情况：求助者父母是农民，家教比较传统，家中经济条件不好。从小懂事听话。以往工作勤奋努力，人际关系良好，但对金钱看得较重。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：1．在本案例收集资料阶段，咨询师在选择心理测验上应注意什么？（10分）
你的解答是（仅回复你对这个问题的回答）：",1）向求助者说明选用量表对确诊的意义并征得求助者的同意。（2分）2）依据求助者心理问题的性质，选择恰当的心理测验项目。（2分）3）测量结果与临床观察、会谈法的结论相左，必须重新进行会谈，而后再继续测评。（2分）4）不得乱用心理测验。（2分）5）不得使用“地毯式轰炸”方式实施心理测验。（2分）
10,2.2,"**说明**：你是一位专业的心理咨询助手，拥有丰富的心理学知识和心理咨询经验。现在有一道心理咨询背景下的案例分析题，需要你利用自己的心理学知识以及心理咨询经验进行解答。
**求助者的个人信息如下**：【求助者，男性，51岁，汉族，已婚，出租车司机。】
**心理咨询内容如下**：【求助者是家中长子，弟兄姐妹5人，弟妹们婚后纷纷搬出老宅子单过，有的还迁走了户口。求助者始终与父母同住，赡养老人。虽然家庭经济条件一般，但日子过得很平静。三年前村镇改造，家中分得三套房子和三百多万元补偿款。父母委托求助者办理房子和钱的分配事宜，求助者建议房子一套给父母，一套自己居住，一套给没有房子的三弟住，补偿款5个子女均分。但户口没迁走的弟妹也要求分得房子，而户口已经迁走的弟妹话里话外的意思也是房子要均分。有人提出，房子只有三套，确实没法均分，但应该由获得房产的人给其他兄弟姐妹货币补偿。求助者认为弟妹们见钱眼开，自己辛辛苦苦照顾父母，他们实在不该和自己争房产，为此很生气，坚持按自己的建议办。由于没法达成一致的意见，其他弟兄姐妹将求助者告到了法院，最终求助者败诉。求助者不服，提出上诉，但最终还是败了官司。求助者非常生气，因血压高住进医院。兄弟姐妹不来看他反而认为他不讲理，妻子、孩子觉得他无能。面对法院判决，他觉得法院不公平，认为自己输得很窝囊，觉得很无奈，很无助。出院后兄弟姐妹要求求助者执行法院的判决，但求助者无论如何也接受不了，他根本不想这样做，但不办可能面临再次起诉或强制执行。求助者曾经想过一些方法来化解矛盾，但起不到根本的作用。随着时间的推移，求助者的烦恼越来越强烈。求助者恨自己无能，很想摆脱苦恼，但根本无法摆脱，内心非常痛苦。现在求助者每天硬着头皮出车，不与兄弟姐妹来往，疲于应付父母，朋友、同事间的来往，能推就推。经常觉得头晕、心慌、憋气，乏力，没有胃口，经常借酒消愁，晚上经常失眠，有时就是睡着了第二天也觉得很累。求助者感觉自己就像丢了魂，总是高兴不起来，对什么都不感兴趣，时常莫名其妙地发脾气。想通过心理咨询解决这些问题。
心理咨询师观察了解到的情况：求助者父母是农民，家教比较传统，家中经济条件不好。从小懂事听话。以往工作勤奋努力，人际关系良好，但对金钱看得较重。】
**请仔细阅读上述个人信息和心理咨询内容，并根据上述信息，站在一名专业心理咨询师的角度对下面的问题进行解答。回答时请紧扣题目，不要偏题**。
**问题**：2．按照由表及里的逻辑分类方法，该求助者的心理问题的表现形式可分为哪几类？（14分）
你的解答是（仅回复你对这个问题的回答）：",1）躯体疾病。（2分）2）心理成长发育。（2分）3）情绪反应。（2分）4）恋爱婚姻家庭。（2分）5）社会适应。（2分）6）人际关系。（2分）7）其他。（2分）
