,模型答案,真实答案
1,ABC,AC
2,ABD,ABD
3,ABCD,ACD
4,ABC,AC
5,BC,BC
6,ABD,AB
7,AB,AB
8,ABCD,BCD
9,ABCD,BC
10,ABD,AD
11,AB,AB
12,E,AB
13,ABCD,ABCD
14,ABC,ABC
15,ABC,ABC
16,ABCD,BC
17,ABC,ABCD
18,ABCD,ABD
19,ABCD,ABCD
20,ABCD,BC
21,ACD,ABD
22,BCD,BC
23,ABD,BD
24,AC,AC
25,ABD,ABD
26,BCD,BCD
27,BCD,BCD
28,ABCD,ABC
29,ABD,ABC
30,ABCD,ABCD
31,AD,AD
32,ACD,AC
33,AD,AD
34,ABD,ABD
35,ABC,AB
36,ABCD,ABC
37,ACD,ABD
38,ACD,CD
39,ABCD,ABD
40,ACD,ABCD
41,ABCD,BD
42,CD,CD
43,ABCD,ABD
44,AC,ABC
45,ACD,ACD
46,ACD,ACD
47,ABCD,BD
48,ABCD,ABD
49,ABD,ABD
50,ABCD,ABCD
51,ABD,ABD
52,ABD,ACD
53,ABCD,BD
54,ABCD,ABC
55,ABCD,ABD
56,BD,BCD
57,ABCD,BCD
58,ABCD,ABCD
59,AC,AC
60,ABD,AB
61,ABD,ACD
62,AC,ABC
63,ABD,AD
64,ABCD,ABCD
65,ABCD,AC
66,ABC,ABD
67,ABCD,ABCD
68,ABCD,ABC
69,ABCD,ACD
70,ABCD,ABC
71,ABCD,BCD
72,ABCD,CD
73,ABCD,ABC
74,ABC,ABCD
75,ABC,AC
76,ACD,AD
77,ABCD,BCD
78,ABCD,ABD
79,ABD,ABC
80,ABCD,CD
81,ABCD,ACD
82,ABCD,AC
83,ACD,ACD
84,E,BCD
85,ABCD,BC
86,ABC,ABC
87,BCD,BCD
88,E,BD
89,ABCD,AB
90,A,BC
91,ABC,ABC
92,AB,AB
93,BCD,BCD
94,ABCD,AD
95,ABCD,BC
96,ABC,ABC
97,BCD,BC
98,ABCD,ABCD
99,ABCD,ABD
100,ABC,AB
101,BCD,BCD
102,ABC,ABCD
103,ABD,ABC
104,B,CD
105,ABCD,BCD
106,ABCD,AB
107,E,BC
108,ACD,ACD
109,ABCD,ACD
110,ABCD,BCD
111,E,ABD
112,ABCD,BD
113,ABD,ABD
114,AC,AC
115,AB,AB
116,ABCD,ACD
117,ABCD,CD
118,ABD,AD
119,ABCD,AC
120,ABCD,BC
121,ABC,AC
122,ABCD,ABCD
123,AD,AD
124,AB,AB
125,BD,BC
126,ABCD,ABC
127,ABC,ABC
128,ABCD,ABCD
129,ABC,ABC
130,BCD,CD
131,ABD,ABD
132,AC,AC
133,ABC,ABC
134,BCD,BCD
135,CD,CD
136,AB,ABD
137,ABCD,ACD
138,E,ABC
139,BC,BC
140,ABCD,ACD
141,BD,BD
142,BCD,BC
143,ABCD,ABD
144,BCD,BCD
145,ABD,BD
146,ABCD,BCD
147,BCD,BCD
148,ABCD,ABCD
149,ABCD,AB
150,ABD,AD
151,ABCD,ACD
152,ABCD,ABD
153,ABC,ABC
154,ABCD,ACD
155,ABC,ABC
156,ACD,ACD
157,D,CD
158,ABCD,ABCD
159,C,AC
160,ABD,ABC
161,E,ABCD
162,AD,AD
163,ABC,ABC
164,ACD,ACD
165,ABC,AB
166,ABCD,ABD
167,ABC,ABC
168,ABCD,ABCD
169,E,BD
170,AC,AC
171,ABCD,ABCD
172,BCD,ABC
173,ABCD,ACD
174,ACD,AC
175,ACD,ABC
176,ABCD,ABCD
177,ABC,ABC
178,ABCD,AC
179,ABCD,ABCD
180,ABCD,ABCD
181,ABCD,ABCD
182,ACD,ABC
183,E,ACD
184,BCD,BCD
185,BCD,CD
186,ABD,BD
187,ABC,ABC
188,ABCD,AB
189,ABCD,ABC
190,E,ABCD
191,ABCD,AC
192,ACD,ACD
193,E,ABCD
194,ABCD,ABC
195,ABCD,AB
196,ABD,ABD
197,ABCD,ACD
198,ABCD,BCD
199,AB,AB
200,BCD,CD
201,ABCD,AB
202,AC,AC
203,ABCD,ABD
204,BD,BD
205,ABCD,BC
206,ABD,BD
207,ACD,AC
208,ABC,BC
209,ABCD,AC
210,ABCD,ABD
211,ABCD,ABD
212,E,AB
213,ABD,AB
214,ABC,CD
215,ABC,CD
216,ABCD,ABC
217,ABC,BC
218,AB,AB
219,AC,AC
220,ABC,ABC
221,ABCD,BCD
222,BCD,BD
223,BCD,BC
224,ABC,ABCD
225,D,CD
226,ABCD,BD
227,ABCD,BCD
228,ABD,ABD
229,ABC,AB
230,ABCD,ABC
231,ABCD,ABC
232,AD,AD
233,ABD,ABD
234,CD,AD
235,ABC,AC
236,ABCD,ABC
237,ACD,BCD
238,AB,AB
239,ABD,ABD
240,A,CD
241,测评最终结果,共240题，86题完全正确，12题部分正确，142题多选或错选。严格正确率：35.833333333333336%，弹性正确率：39.131944444444436%
