,模型答案,真实答案
1,ABD,BD
2,ABD,ABD
3,ABCD,ABCD
4,ABC,ABC
5,C,ABC
6,B,ABD
7,D,ABC
8,AB,ABC
9,CD,CD
10,ABC,ABC
11,D,ACD
12,D,ABCD
13,C,AC
14,C,ACD
15,D,ABCD
16,ABC,ABC
17,BCD,BCD
18,C,ACD
19,AB,ABC
20,ABD,ABCD
21,D,CD
22,C,ACD
23,D,BCD
24,AC,AC
25,BC,BC
26,A,AB
27,ABCD,AB
28,C,ABCD
29,D,BD
30,D,BCD
31,D,AD
32,ADB,AD
33,BCD,ABCD
34,D,CD
35,AD,AD
36,D,BD
37,D,CD
38,C,BC
39,D,CD
40,ABCD,ABCD
41,A,AC
42,C,ABC
43,ABCD,ACD
44,D,CD
45,C,BC
46,D,ABD
47,ABC,ABC
48,B,ABD
49,测评最终结果,共48题，12题完全正确，31题部分正确，5题多选或错选。严格正确率：25.0%，弹性正确率：53.64583333333333%
