,模型答案,真实答案
1,D,D
2,D,C
3,A,B
4,B,B
5,A,A
6,B,A
7,B,B
8,B,B
9,D,D
10,A,A
11,D,D
12,D,D
13,A,B
14,C,C
15,D,D
16,D,D
17,D,D
18,B,B
19,D,A
20,B,B
21,B,B
22,B,B
23,B,B
24,C,C
25,C,C
26,C,A
27,A,C
28,B,B
29,C,C
30,A,A
31,D,D
32,C,D
33,B,B
34,B,B
35,D,D
36,D,D
37,A,A
38,C,C
39,B,B
40,A,B
41,D,A
42,C,C
43,C,C
44,A,C
45,D,B
46,B,C
47,B,B
48,C,C
49,A,A
50,A,A
51,B,B
52,C,B
53,C,B
54,C,C
55,B,B
56,B,B
57,C,B
58,C,D
59,B,D
60,B,A
61,B,B
62,C,C
63,D,D
64,C,C
65,B,B
66,B,B
67,B,B
68,A,A
69,C,C
70,C,C
71,A,C
72,B,B
73,B,B
74,B,C
75,A,A
76,A,A
77,D,D
78,A,A
79,B,C
80,C,B
81,A,A
82,D,D
83,A,A
84,D,D
85,B,C
86,C,D
87,D,B
88,D,B
89,B,B
90,B,B
91,A,B
92,C,C
93,C,C
94,C,C
95,C,C
96,D,D
97,C,D
98,C,D
99,B,D
100,A,A
101,B,B
102,C,C
103,B,D
104,D,D
105,D,B
106,A,A
107,C,C
108,B,C
109,A,A
110,A,C
111,C,D
112,D,D
113,B,B
114,C,A
115,C,B
116,A,A
117,C,D
118,A,A
119,C,B
120,B,C
121,C,C
122,B,B
123,A,D
124,C,D
125,A,A
126,B,B
127,C,C
128,B,B
129,B,B
130,C,B
131,A,A
132,C,C
133,B,B
134,D,D
135,D,D
136,C,C
137,C,C
138,D,A
139,B,A
140,D,D
141,A,A
142,A,C
143,C,C
144,D,C
145,D,A
146,B,B
147,A,A
148,C,D
149,A,C
150,B,B
151,D,A
152,D,D
153,C,C
154,C,A
155,C,C
156,A,A
157,B,B
158,D,C
159,C,C
160,B,B
161,B,D
162,B,B
163,B,D
164,A,A
165,D,D
166,C,C
167,A,A
168,B,B
169,B,B
170,B,B
171,B,B
172,D,B
173,A,C
174,A,D
175,A,A
176,A,D
177,A,A
178,B,B
179,C,A
180,B,B
181,A,A
182,B,B
183,B,B
184,C,D
185,A,C
186,B,D
187,B,B
188,A,D
189,B,C
190,C,C
191,A,A
192,D,D
193,C,A
194,C,D
195,D,A
196,D,D
197,C,C
198,C,C
199,A,A
200,D,D
201,A,A
202,D,B
203,C,C
204,A,A
205,C,C
206,D,A
207,A,A
208,C,C
209,C,C
210,A,A
211,D,D
212,A,A
213,B,A
214,A,A
215,B,B
216,C,C
217,D,D
218,D,B
219,D,D
220,D,D
221,C,C
222,C,B
223,A,B
224,C,C
225,C,B
226,A,B
227,C,C
228,D,B
229,B,C
230,B,B
231,B,C
232,B,B
233,D,D
234,B,B
235,D,A
236,A,C
237,C,B
238,B,B
239,A,D
240,B,B
241,C,C
242,A,D
243,A,A
244,C,C
245,C,C
246,C,C
247,B,B
248,C,D
249,B,B
250,B,B
251,D,D
252,D,D
253,C,C
254,B,B
255,B,A
256,B,D
257,D,D
258,C,C
259,C,C
260,A,A
261,D,D
262,C,C
263,A,B
264,D,A
265,D,D
266,D,D
267,C,C
268,A,A
269,A,A
270,C,B
271,C,C
272,C,C
273,A,A
274,A,A
275,D,D
276,D,D
277,B,B
278,C,C
279,D,D
280,B,B
281,D,D
282,B,C
283,A,B
284,B,B
285,B,B
286,A,B
287,D,D
288,D,D
289,D,C
290,B,B
291,D,D
292,C,C
293,D,D
294,C,C
295,A,C
296,D,D
297,B,D
298,B,B
299,A,A
300,D,A
301,D,D
302,B,B
303,D,D
304,B,B
305,B,B
306,C,B
307,C,C
308,B,B
309,D,D
310,B,B
311,D,D
312,D,B
313,A,D
314,B,B
315,C,C
316,B,B
317,C,C
318,D,D
319,B,B
320,D,D
321,C,B
322,A,B
323,B,B
324,A,B
325,C,D
326,B,B
327,A,A
328,B,C
329,D,D
330,A,A
331,C,B
332,C,B
333,A,C
334,B,C
335,B,C
336,C,B
337,B,B
338,A,D
339,D,D
340,B,B
341,B,B
342,B,D
343,B,B
344,B,B
345,C,C
346,B,C
347,C,C
348,B,B
349,C,C
350,B,C
351,B,B
352,D,C
353,D,D
354,C,C
355,B,A
356,C,C
357,B,D
358,A,D
359,A,A
360,B,B
361,测评最终结果,共360题，240题正确，120题错误。正确率：66.66666666666666%
