,模型答案,真实答案
1,B,B
2,C,C
3,A,A
4,B,D
5,B,B
6,C,C
7,D,A
8,C,C
9,B,B
10,C,C
11,C,B
12,B,D
13,B,C
14,D,A
15,B,D
16,D,D
17,D,C
18,D,C
19,D,D
20,A,A
21,B,B
22,C,C
23,B,C
24,B,A
25,B,B
26,B,B
27,B,A
28,D,D
29,A,A
30,B,A
31,B,B
32,B,C
33,C,C
34,D,A
35,D,C
36,D,D
37,D,B
38,D,A
39,B,A
40,B,D
41,B,C
42,C,B
43,D,D
44,B,B
45,C,B
46,B,B
47,D,C
48,B,C
49,D,D
50,B,D
51,D,B
52,D,A
53,B,B
54,D,D
55,B,A
56,B,B
57,B,C
58,D,B
59,C,C
60,B,B
61,A,A
62,D,D
63,C,D
64,A,A
65,D,D
66,B,C
67,B,B
68,B,C
69,D,D
70,D,C
71,D,A
72,A,A
73,B,B
74,C,C
75,B,B
76,D,D
77,B,B
78,D,D
79,D,A
80,B,B
81,B,A
82,C,D
83,D,D
84,B,B
85,D,D
86,B,B
87,B,B
88,C,C
89,B,B
90,B,D
91,B,B
92,B,C
93,A,A
94,B,B
95,B,A
96,A,A
97,D,B
98,D,C
99,A,C
100,C,C
101,C,A
102,B,B
103,C,C
104,D,B
105,B,A
106,A,B
107,B,A
108,C,C
109,B,C
110,B,A
111,B,D
112,D,C
113,D,C
114,D,B
115,B,A
116,B,C
117,B,B
118,D,B
119,C,C
120,D,C
121,B,B
122,B,B
123,B,B
124,C,C
125,D,D
126,B,A
127,D,D
128,D,A
129,D,A
130,B,B
131,D,D
132,D,D
133,B,A
134,C,C
135,D,A
136,B,B
137,A,A
138,B,B
139,D,D
140,B,B
141,B,B
142,D,C
143,D,D
144,A,B
145,D,C
146,B,A
147,C,C
148,B,B
149,B,B
150,B,D
151,D,D
152,B,B
153,D,D
154,C,C
155,B,D
156,C,D
157,B,B
158,B,B
159,C,C
160,A,B
161,D,D
162,B,B
163,B,B
164,D,A
165,D,D
166,B,B
167,C,C
168,C,C
169,B,B
170,B,C
171,B,A
172,B,C
173,B,A
174,D,D
175,D,C
176,B,B
177,D,D
178,B,A
179,D,B
180,D,C
181,B,A
182,C,D
183,C,C
184,B,B
185,D,D
186,C,C
187,B,D
188,D,A
189,B,B
190,D,D
191,B,B
192,D,A
193,B,D
194,B,A
195,D,B
196,D,D
197,C,C
198,D,A
199,D,D
200,B,B
201,B,B
202,B,C
203,D,D
204,C,C
205,D,A
206,C,D
207,B,B
208,D,A
209,B,C
210,D,B
211,B,C
212,C,C
213,B,A
214,B,C
215,B,B
216,B,B
217,B,D
218,D,D
219,B,B
220,D,D
221,D,C
222,B,B
223,B,D
224,B,B
225,B,B
226,B,C
227,B,D
228,C,C
229,A,A
230,B,B
231,D,A
232,B,B
233,D,C
234,C,A
235,D,D
236,C,C
237,D,C
238,B,D
239,A,A
240,B,B
241,A,A
242,D,D
243,D,D
244,D,D
245,B,B
246,B,C
247,D,C
248,B,A
249,B,C
250,C,A
251,D,D
252,D,C
253,B,B
254,C,C
255,B,C
256,D,D
257,C,C
258,B,B
259,A,A
260,B,D
261,B,C
262,D,B
263,D,B
264,B,A
265,D,D
266,D,A
267,C,C
268,B,B
269,A,A
270,C,C
271,D,D
272,B,A
273,B,B
274,B,B
275,D,D
276,B,C
277,D,D
278,C,C
279,C,C
280,A,A
281,C,C
282,B,B
283,B,B
284,D,D
285,B,B
286,B,B
287,B,D
288,C,C
289,C,B
290,B,D
291,B,B
292,B,B
293,B,C
294,C,A
295,C,C
296,B,B
297,C,C
298,A,C
299,A,D
300,B,D
301,B,B
302,A,A
303,B,B
304,D,D
305,B,A
306,B,B
307,B,B
308,D,A
309,C,C
310,B,D
311,B,D
312,C,C
313,B,B
314,D,D
315,C,C
316,B,B
317,D,D
318,C,D
319,C,C
320,B,B
321,B,C
322,D,C
323,D,D
324,C,C
325,B,B
326,A,A
327,B,B
328,B,C
329,B,A
330,D,B
331,D,D
332,D,B
333,D,B
334,B,D
335,B,B
336,B,B
337,C,C
338,D,A
339,A,A
340,D,D
341,D,A
342,D,D
343,D,D
344,B,B
345,C,A
346,D,B
347,B,B
348,B,C
349,C,B
350,C,C
351,B,B
352,B,C
353,D,D
354,B,D
355,C,C
356,B,C
357,C,C
358,B,B
359,B,A
360,D,A
361,B,B
362,D,B
363,C,C
364,C,C
365,D,D
366,B,B
367,C,A
368,D,A
369,A,A
370,C,C
371,B,C
372,B,C
373,B,D
374,B,B
375,D,D
376,B,A
377,D,C
378,D,A
379,B,D
380,D,D
381,B,C
382,B,B
383,D,D
384,D,D
385,B,B
386,D,C
387,B,B
388,C,A
389,C,C
390,D,B
391,B,C
392,D,A
393,B,B
394,B,B
395,B,C
396,B,B
397,D,B
398,D,B
399,D,C
400,B,B
401,B,C
402,D,C
403,D,C
404,C,C
405,A,A
406,D,A
407,B,B
408,B,B
409,B,B
410,D,D
411,B,A
412,C,C
413,A,A
414,C,C
415,B,B
416,B,D
417,B,B
418,B,C
419,D,D
420,A,A
421,D,D
422,D,B
423,B,B
424,A,A
425,B,B
426,B,B
427,A,A
428,B,B
429,D,D
430,B,B
431,D,D
432,A,A
433,B,C
434,B,C
435,D,A
436,D,D
437,B,B
438,B,B
439,B,B
440,B,B
441,B,B
442,B,B
443,B,A
444,B,B
445,B,B
446,C,C
447,B,A
448,B,C
449,B,A
450,C,C
451,B,A
452,B,B
453,C,C
454,D,A
455,D,D
456,C,B
457,B,B
458,C,C
459,D,A
460,B,D
461,B,A
462,B,B
463,B,B
464,C,C
465,D,A
466,C,D
467,D,A
468,D,B
469,D,C
470,D,C
471,D,D
472,D,D
473,B,C
474,A,A
475,D,A
476,D,D
477,B,B
478,D,A
479,D,D
480,B,B
481,C,B
482,D,B
483,B,A
484,D,A
485,B,B
486,D,D
487,B,D
488,B,B
489,B,B
490,B,B
491,C,C
492,C,C
493,D,D
494,B,B
495,B,B
496,C,C
497,D,D
498,D,B
499,B,C
500,A,A
501,D,A
502,D,C
503,B,B
504,A,C
505,C,C
506,B,B
507,A,C
508,D,B
509,C,C
510,A,B
511,D,D
512,C,C
513,B,A
514,B,A
515,B,A
516,B,C
517,D,C
518,D,B
519,C,D
520,B,C
521,D,B
522,D,B
523,D,C
524,D,C
525,D,A
526,B,B
527,D,D
528,D,C
529,D,C
530,D,D
531,B,D
532,D,A
533,D,B
534,A,A
535,B,B
536,D,D
537,D,D
538,B,A
539,B,C
540,B,B
541,B,C
542,D,A
543,B,B
544,A,A
545,B,B
546,C,C
547,D,D
548,C,C
549,A,D
550,B,C
551,D,A
552,C,C
553,B,B
554,B,B
555,C,D
556,D,D
557,D,D
558,D,D
559,B,B
560,D,D
561,B,D
562,B,B
563,B,B
564,B,C
565,A,A
566,D,D
567,D,A
568,A,A
569,B,B
570,D,D
571,C,C
572,A,C
573,D,A
574,B,B
575,C,C
576,B,A
577,B,A
578,D,D
579,B,A
580,D,C
581,B,C
582,B,D
583,B,D
584,D,B
585,B,B
586,B,A
587,B,A
588,C,A
589,B,B
590,D,D
591,C,C
592,D,D
593,B,B
594,B,B
595,B,B
596,D,A
597,B,A
598,B,C
599,D,D
600,B,A
601,A,A
602,D,D
603,B,B
604,D,B
605,D,D
606,D,B
607,B,D
608,B,C
609,D,D
610,C,C
611,D,A
612,C,C
613,B,B
614,D,A
615,A,B
616,B,D
617,B,B
618,C,C
619,B,A
620,D,A
621,B,B
622,B,B
623,D,C
624,D,D
625,B,B
626,D,D
627,A,C
628,B,B
629,D,D
630,B,B
631,B,A
632,B,C
633,D,D
634,D,D
635,A,A
636,B,B
637,B,B
638,B,B
639,C,C
640,C,A
641,D,D
642,C,C
643,D,A
644,B,D
645,A,A
646,B,A
647,A,A
648,D,D
649,D,D
650,D,D
651,D,B
652,B,C
653,D,C
654,B,A
655,B,C
656,C,A
657,D,D
658,C,C
659,B,B
660,C,C
661,B,B
662,D,D
663,D,A
664,B,B
665,A,A
666,B,D
667,D,C
668,D,B
669,D,B
670,B,A
671,D,D
672,A,A
673,A,A
674,C,C
675,B,B
676,D,D
677,B,C
678,D,D
679,C,A
680,B,B
681,A,C
682,D,D
683,C,A
684,B,D
685,B,B
686,C,C
687,A,A
688,B,A
689,C,B
690,B,B
691,D,D
692,B,C
693,B,C
694,D,C
695,B,C
696,B,C
697,D,D
698,D,B
699,C,C
700,A,C
701,B,B
702,D,D
703,D,A
704,D,C
705,B,D
706,D,A
707,B,A
708,B,B
709,C,C
710,C,C
711,A,A
712,B,A
713,D,B
714,B,B
715,B,C
716,A,B
717,D,A
718,D,D
719,C,C
720,A,A
721,B,B
722,D,C
723,C,C
724,D,A
725,D,D
726,B,B
727,B,C
728,B,D
729,C,B
730,D,D
731,B,A
732,B,C
733,B,C
734,B,B
735,B,B
736,A,A
737,B,D
738,C,C
739,C,C
740,B,C
741,B,C
742,B,A
743,C,C
744,D,C
745,C,C
746,B,C
747,C,C
748,C,C
749,B,B
750,C,C
751,C,B
752,B,B
753,C,A
754,D,C
755,D,D
756,B,C
757,C,C
758,D,C
759,B,C
760,B,B
761,D,D
762,C,B
763,B,A
764,D,D
765,D,A
766,B,B
767,A,B
768,D,C
769,D,D
770,B,A
771,D,C
772,B,B
773,C,B
774,B,B
775,D,D
776,B,B
777,B,D
778,D,B
779,C,A
780,B,B
781,D,C
782,D,D
783,D,C
784,B,A
785,D,D
786,D,B
787,A,A
788,D,C
789,A,D
790,B,C
791,B,D
792,D,D
793,C,A
794,C,C
795,D,C
796,D,D
797,A,A
798,B,B
799,D,D
800,C,C
801,D,C
802,B,C
803,B,B
804,B,B
805,C,C
806,D,B
807,C,C
808,D,D
809,D,C
810,C,C
811,B,B
812,C,B
813,B,D
814,B,C
815,B,B
816,C,C
817,B,D
818,C,C
819,B,B
820,D,B
821,B,B
822,D,B
823,B,B
824,B,D
825,B,A
826,B,B
827,B,C
828,B,C
829,D,D
830,C,C
831,C,A
832,C,B
833,D,D
834,B,B
835,B,B
836,B,B
837,D,D
838,B,C
839,D,A
840,B,B
841,B,B
842,B,B
843,C,C
844,B,B
845,B,D
846,B,C
847,B,A
848,D,D
849,B,C
850,C,C
851,B,A
852,D,A
853,B,B
854,D,A
855,C,C
856,D,B
857,D,B
858,B,A
859,B,B
860,B,B
861,C,A
862,B,D
863,B,B
864,C,C
865,B,B
866,B,B
867,D,C
868,C,C
869,B,B
870,A,A
871,D,A
872,B,B
873,C,C
874,B,D
875,B,B
876,D,C
877,B,A
878,B,B
879,D,D
880,B,A
881,B,C
882,B,B
883,B,A
884,D,C
885,B,B
886,D,B
887,B,C
888,B,A
889,D,B
890,D,C
891,B,B
892,D,D
893,D,B
894,B,C
895,B,B
896,D,D
897,B,D
898,C,D
899,A,C
900,B,C
901,B,B
902,B,A
903,D,A
904,B,B
905,B,B
906,C,C
907,D,A
908,B,B
909,A,A
910,B,B
911,C,C
912,D,C
913,C,C
914,C,A
915,A,A
916,C,C
917,B,C
918,D,B
919,C,C
920,B,B
921,A,B
922,C,B
923,B,A
924,B,A
925,B,C
926,B,A
927,B,B
928,B,B
929,D,A
930,A,A
931,B,D
932,D,C
933,D,D
934,A,A
935,B,C
936,D,B
937,D,C
938,C,D
939,A,A
940,A,A
941,D,C
942,C,C
943,B,C
944,C,C
945,B,B
946,B,C
947,D,B
948,B,B
949,A,A
950,B,C
951,D,B
952,D,D
953,D,A
954,C,C
955,B,D
956,D,D
957,B,B
958,D,C
959,C,C
960,B,D
961,C,A
962,B,B
963,C,D
964,B,C
965,C,C
966,C,B
967,B,A
968,测评最终结果,共967题，521题正确，446题错误。正确率：53.87797311271976%
