,模型答案,真实答案
1,A,A
2,D,D
3,C,C
4,C,C
5,B,B
6,B,D
7,A,A
8,D,B
9,A,A
10,B,B
11,C,C
12,B,B
13,C,C
14,D,D
15,C,C
16,B,B
17,A,A
18,B,B
19,C,C
20,B,B
21,C,C
22,D,D
23,C,C
24,B,B
25,C,C
26,A,A
27,D,C
28,B,B
29,B,A
30,D,D
31,C,C
32,B,B
33,A,A
34,C,C
35,A,A
36,D,D
37,A,C
38,B,B
39,C,C
40,D,B
41,B,B
42,B,B
43,C,C
44,C,C
45,D,D
46,D,D
47,C,C
48,C,C
49,D,D
50,A,A
51,C,C
52,D,C
53,D,A
54,B,B
55,B,B
56,C,C
57,A,A
58,B,B
59,B,D
60,C,C
61,A,A
62,B,B
63,C,C
64,D,D
65,B,B
66,C,C
67,C,C
68,D,D
69,A,A
70,C,A
71,D,C
72,D,D
73,D,C
74,C,BC
75,B,B
76,B,B
77,A,C
78,B,BD
79,C,ABC
80,C,C
81,A,A
82,D,D
83,B,B
84,C,C
85,A,A
86,C,C
87,D,D
88,C,C
89,测评最终结果,共88题，72题正确，13题错误。正确率：81.81818181818183%
