,模型答案,真实答案
1,A,BD
2,C,ABD
3,C,ABCD
4,C,ABC
5,C,ABC
6,B,ABD
7,C,ABC
8,C,ABC
9,C,CD
10,C,ABC
11,C,ACD
12,C,ABCD
13,C,AC
14,C,ACD
15,C,ABCD
16,ABC,ABC
17,B,BCD
18,C,ACD
19,E,ABC
20,D,ABCD
21,C,CD
22,C,ACD
23,C,BCD
24,C,AC
25,C,BC
26,A,AB
27,AB,AB
28,C,ABCD
29,B,BD
30,C,BCD
31,C,AD
32,D,AD
33,C,ABCD
34,C,CD
35,A,AD
36,D,BD
37,C,CD
38,B,BC
39,C,CD
40,C,ABCD
41,C,AC
42,B,ABC
43,C,ACD
44,C,CD
45,C,BC
46,B,ABD
47,AB,ABC
48,C,ABD
49,测评最终结果,共48题，2题完全正确，41题部分正确，5题多选或错选。严格正确率：4.166666666666666%，弹性正确率：38.02083333333333%
