,题号,模型答案,正确答案
1,1.1,A,C
2,1.2,A,BC
3,1.3,A,B
4,1.4,D,B
5,1.5,A,C
6,1.6,A,BD
7,1.7,A,ABC
8,1.8,A,AC
9,1.9,A,AB
10,1.10,ACD,ABCD
11,2.1,A,B
12,2.2,A,BCD
13,2.3,D,B
14,2.4,A,AB
15,2.5,A,AC
16,2.6,A,AD
17,2.7,A,B
18,2.8,A,D
19,2.9,D,C
20,2.10,A,D
21,3.1,A,AD
22,3.2,A,AC
23,3.3,A,AC
24,3.4,A,C
25,3.5,D,B
26,3.6,A,BD
27,3.7,A,B
28,3.8,D,D
29,3.9,D,D
30,3.10,A,AC
31,4.1,A,A
32,4.2,A,C
33,4.3,A,C
34,4.4,A,D
35,4.5,A,D
36,4.6,D,C
37,4.7,A,ABCD
38,4.8,A,ABCD
39,4.9,A,C
40,4.10,D,ABC
41,5.1,D,D
42,5.2,A,AC
43,5.3,A,ABD
44,5.4,A,AC
45,5.5,B,B
46,5.6,A,A
47,5.7,A,C
48,5.8,A,B
49,5.9,A,ABD
50,5.10,ACD,ABCD
51,6.1,A,ABD
52,6.2,A,D
53,6.3,A,C
54,6.4,A,ABC
55,6.5,A,BC
56,6.6,A,B
57,6.7,D,B
58,6.8,A,BD
59,6.9,D,D
60,6.10,A,ABC
61,7.1,A,B
62,7.2,A,ABC
63,7.3,A,ABD
64,7.4,A,ABC
65,7.5,A,BC
66,7.6,A,ABCD
67,7.7,A,AC
68,7.8,A,ABD
69,7.9,A,BCD
70,7.10,D,D
71,8.1,D,ABD
72,8.2,A,D
73,8.3,A,B
74,8.4,ACD,ACD
75,8.5,A,ABCD
76,8.6,A,C
77,8.7,D,ABCD
78,8.8,D,ABCD
79,8.9,A,AC
80,8.10,A,B
81,9.1,A,BD
82,9.2,A,ABD
83,9.3,D,C
84,9.4,D,B
85,9.5,D,CD
86,9.6,A,BCD
87,9.7,D,B
88,9.8,D,ABD
89,9.9,A,BC
90,9.10,D,C
91,10.1,A,AB
92,10.2,A,D
93,10.3,A,D
94,10.4,A,B
95,10.5,A,AC
96,10.6,D,B
97,10.7,A,AC
98,10.8,A,A
99,10.9,A,BC
100,10.10,D,B
101,11.1,A,ABD
102,11.2,A,C
103,11.3,D,D
104,11.4,A,AB
105,11.5,D,ABC
106,11.6,A,A
107,11.7,A,D
108,11.8,A,D
109,11.9,D,BCD
110,11.10,A,AB
111,12.1,A,ABD
112,12.2,A,C
113,12.3,A,C
114,12.4,A,D
115,12.5,A,ABD
116,12.6,D,C
117,12.7,A,A
118,12.8,A,D
119,12.9,A,D
120,12.10,D,D
121,13.1,D,D
122,13.2,A,AC
123,13.3,A,ABD
124,13.4,A,AC
125,13.5,B,B
126,13.6,ACD,BCD
127,13.7,A,B
128,13.8,A,ABD
129,13.9,A,ABCD
130,14.1,D,D
131,14.2,A,BD
132,14.3,D,B
133,14.4,A,BCD
134,14.5,A,ABC
135,14.6,B,AC
136,14.7,A,BC
137,15.1,D,ABD
138,15.2,A,D
139,15.3,A,B
140,15.4,A,ACD
141,15.5,A,ABCD
142,15.6,A,C
143,15.7,D,ABCD
144,15.8,A,ABCD
145,15.9,A,AC
146,15.10,A,ACD
147,16.1,A,ACD
148,16.2,D,D
149,16.3,A,AC
150,16.4,A,B
151,16.5,A,ABD
152,16.6,A,D
153,16.7,A,ABC
154,16.8,D,BD
155,16.9,D,BCD
156,16.10,D,B
157,17.1,A,ABD
158,17.2,D,B
159,17.3,A,C
160,17.4,D,D
161,17.5,D,C
162,17.6,B,B
163,17.7,D,B
164,17.8,D,B
165,17.9,A,BCD
166,18.1,D,C
167,18.2,A,BC
168,18.3,ACD,BD
169,18.4,D,A
170,18.5,D,A
171,18.6,A,C
172,18.7,D,C
173,18.8,A,ABC
174,18.9,D,A
175,18.10,D,A
176,19.1,D,B
177,19.2,D,D
178,19.3,A,ABD
179,19.4,B,无标准答案
180,19.5,D,D
181,19.6,D,B
182,19.7,DCD,AC
183,19.8,D,BD
184,19.9,D,D
185,19.10,D,B
186,20.1,A,BCD
187,20.2,D,D
188,20.3,D,D
189,20.4,A,C
190,20.5,ACD,AB
191,20.6,D,B
192,20.7,A,AB
193,20.8,A,A
194,20.9,D,D
195,20.10,A,D
196,21.1,A,ABCD
197,21.2,D,D
198,21.3,D,D
199,21.4,A,A
200,21.5,B,BD
201,22.1,A,AB
202,22.2,A,AD
203,22.3,D,C
204,22.4,D,D
205,22.5,D,C
206,22.6,A,D
207,22.7,D,C
208,22.8,A,ACD
209,22.9,D,B
210,22.10,A,ABC
211,23.1,A,AB
212,23.2,A,ABC
213,23.3,A,A
214,23.4,D,B
215,23.5,A,BD
216,23.6,A,BCD
217,23.7,A,ACD
218,23.8,A,A
219,23.9,A,BCD
220,23.10,B,C
221,24.1,D,D
222,24.2,A,B
223,24.3,A,A
224,24.4,A,A
225,24.5,D,C
226,24.6,D,B
227,24.7,A,ACD
228,24.8,A,BD
229,24.9,A,ABD
230,24.10,A,BC
231,25.1,D,BD
232,25.2,D,D
233,25.3,A,AC
234,25.4,A,D
235,25.5,A,B
236,25.6,A,ABD
237,25.7,A,ABCD
238,25.8,A,BCD
239,25.9,A,AB
240,25.10,A,B
241,26.1,A,AB
242,26.2,A,ACD
243,26.3,A,BC
244,26.4,D,B
245,26.5,D,B
246,26.6,D,B
247,26.7,A,ABCD
248,26.8,B,ABCD
249,26.9,A,CD
250,26.10,A,BC
251,27.1,D,C
252,27.2,A,BD
253,27.3,A,A
254,27.4,A,AB
255,27.5,ACD,ABCD
256,27.6,ACD,BC
257,27.7,A,ABC
258,27.8,A,ACD
259,27.9,A,ABD
260,27.10,D,B
261,28.1,A,ACD
262,28.2,D,ABC
263,28.3,A,A
264,28.4,A,ABD
265,28.5,A,B
266,28.6,D,D
267,28.7,A,A
268,28.8,D,C
269,28.9,A,C
270,28.10,D,BD
271,29.1,D,BCD
272,29.2,D,C
273,29.3,D,CD
274,29.4,D,A
275,29.5,D,C
276,29.6,A,BC
277,29.7,A,ABD
278,29.8,A,ABCD
279,29.9,A,ABD
280,29.10,A,B
281,30.1,A,C
282,30.2,AC,CD
283,30.3,AC,ABD
284,30.4,A,B
285,30.5,A,C
286,30.6,A,C
287,30.7,AC,CD
288,30.8,A,A
289,30.9,AC,AC
290,30.10,AC,AD
291,31.1,AC,AC
292,31.2,AC,BC
293,31.3,A,ACD
294,31.4,A,C
295,31.5,A,C
296,31.6,A,C
297,31.7,D,D
298,31.8,D,C
299,31.9,AC,ABD
300,31.10,A,D
301,32.1,D,ACD
302,32.2,AC,AC
303,32.3,A,C
304,32.4,D,B
305,32.5,D,D
306,32.6,AC,ABCD
307,32.7,AC,AC
308,32.8,A,A
309,32.9,C,D
310,32.10,C,D
311,33.1,AC,ACD
312,33.2,AC,ABCD
313,33.3,AC,BC
314,33.4,A,A
315,33.5,AC,BCD
316,33.6,AC,BC
317,33.7,AC,ABC
318,33.8,AC,AC
319,33.9,AC,C
320,33.10,AC,BC
321,34.1,AC,AD
322,34.2,A,C
323,34.3,AC,AC
324,34.4,A,ABC
325,34.5,D,C
326,34.6,D,D
327,34.7,AC,BCD
328,34.8,AC,BD
329,34.9,ABC,C
330,34.10,A,D
331,34.11,D,D
332,34.12,AC,CD
333,35.1,A,C
334,35.2,A,B
335,35.3,A,D
336,35.4,AC,ABCD
337,35.5,A,C
338,35.6,A,D
339,35.7,A,C
340,35.8,AC,ABCD
341,35.9,D,D
342,36.1,A,C
343,36.2,A,A
344,36.3,D,B
345,36.4,AC,ABD
346,36.5,A,D
347,36.6,D,C
348,36.7,A,C
349,36.8,A,A
350,36.9,A,AB
351,36.10,A,D
352,37.1,A,C
353,37.2,AC,ABD
354,37.3,AC,AC
355,37.4,A,B
356,37.5,A,C
357,37.6,A,C
358,37.7,AC,ABD
359,37.8,AC,AB
360,37.9,AC,BC
361,37.10,AC,ABC
362,38.1,A,B
363,38.2,D,C
364,38.3,D,D
365,38.4,D,C
366,38.5,AC,ABC
367,38.6,A,B
368,38.7,D,D
369,38.8,A,D
370,38.9,A,C
371,39.1,AC,BC
372,39.2,A,D
373,39.3,A,D
374,39.4,A,B
375,39.5,AC,AC
376,39.6,D,A
377,39.7,D,C
378,39.8,A,A
379,39.9,AC,BC
380,39.10,D,B
381,40.1,AC,ACD
382,40.2,D,D
383,40.3,D,B
384,40.4,AC,AD
385,40.5,AC,AD
386,40.6,D,B
387,40.7,AC,ACD
388,40.8,A,C
389,40.9,D,D
390,40.10,AC,ABC
391,41.1,B,D
392,41.2,A,ABCD
393,41.3,A,A
394,41.4,A,C
395,41.5,D,C
396,41.6,AC,AC
397,41.7,AC,AC
398,41.8,A,A
399,41.9,AC,ACD
400,41.10,D,B
401,42.1,AC,AD
402,42.2,A,ABD
403,42.3,D,B
