,模型答案,真实答案
1,AB,BD
2,ABD,ABD
3,ABD,ABCD
4,BC,ABC
5,BC,ABC
6,B,ABD
7,A,ABC
8,AB,ABC
9,ABCD,CD
10,AB,ABC
11,AD,ACD
12,AD,ABCD
13,AB,AC
14,AB,ACD
15,ABD,ABCD
16,ABC,ABC
17,B,BCD
18,D,ACD
19,AB,ABC
20,AB,ABCD
21,AD,CD
22,B,ACD
23,AB,BCD
24,AB,AC
25,B,BC
26,A,AB
27,AB,AB
28,B,ABCD
29,B,BD
30,AB,BCD
31,A,AD
32,D,AD
33,B,ABCD
34,C,CD
35,AD,AD
36,B,BD
37,C,CD
38,C,BC
39,D,CD
40,B,ABCD
41,A,AC
42,AB,ABC
43,ABCD,ACD
44,C,CD
45,B,BC
46,AB,ABD
47,AB,ABC
48,AD,ABD
49,测评最终结果,共48题，4题完全正确，34题部分正确，10题多选或错选。严格正确率：8.333333333333332%，弹性正确率：45.312500000000014%
