,题号,模型答案,正确答案
1,1.1,E,C
2,1.2,E,BC
3,1.3,C,B
4,1.4,B,B
5,1.5,C,C
6,1.6,ABCD,BD
7,1.7,AC,ABC
8,1.8,AC,AC
9,1.9,AB,AB
10,1.10,ABCD,ABCD
11,2.1,B,B
12,2.2,ABCD,BCD
13,2.3,D,B
14,2.4,B,AB
15,2.5,ABCD,AC
16,2.6,ABD,AD
17,2.7,B,B
18,2.8,B,D
19,2.9,C,C
20,2.10,D,D
21,3.1,ACD,AD
22,3.2,ACD,AC
23,3.3,ACD,AC
24,3.4,B,C
25,3.5,D,B
26,3.6,BCD,BD
27,3.7,B,B
28,3.8,D,D
29,3.9,D,D
30,3.10,E,AC
31,4.1,A,A
32,4.2,C,C
33,4.3,C,C
34,4.4,D,D
35,4.5,B,D
36,4.6,E,C
37,4.7,ABCD,ABCD
38,4.8,ABD,ABCD
39,4.9,A,C
40,4.10,ABC,ABC
41,5.1,D,D
42,5.2,ACD,AC
43,5.3,D,ABD
44,5.4,ABCD,AC
45,5.5,B,B
46,5.6,B,A
47,5.7,C,C
48,5.8,D,B
49,5.9,ABD,ABD
50,5.10,ABC,ABCD
51,6.1,E,ABD
52,6.2,D,D
53,6.3,E,C
54,6.4,ABCD,ABC
55,6.5,AC,BC
56,6.6,A,B
57,6.7,B,B
58,6.8,BD,BD
59,6.9,D,D
60,6.10,ABC,ABC
61,7.1,D,B
62,7.2,ABD,ABC
63,7.3,BD,ABD
64,7.4,E,ABC
65,7.5,BCD,BC
66,7.6,ABCD,ABCD
67,7.7,ACD,AC
68,7.8,ABCD,ABD
69,7.9,ABCD,BCD
70,7.10,C,D
71,8.1,ABD,ABD
72,8.2,D,D
73,8.3,C,B
74,8.4,ABCD,ACD
75,8.5,E,ABCD
76,8.6,B,C
77,8.7,ABCD,ABCD
78,8.8,ABC,ABCD
79,8.9,ACD,AC
80,8.10,B,B
81,9.1,BD,BD
82,9.2,ABCD,ABD
83,9.3,B,C
84,9.4,B,B
85,9.5,ABD,CD
86,9.6,ABCD,BCD
87,9.7,E,B
88,9.8,ABCD,ABD
89,9.9,BC,BC
90,9.10,D,C
91,10.1,ABD,AB
92,10.2,D,D
93,10.3,C,D
94,10.4,B,B
95,10.5,AD,AC
96,10.6,B,B
97,10.7,ABC,AC
98,10.8,A,A
99,10.9,BC,BC
100,10.10,B,B
101,11.1,AB,ABD
102,11.2,C,C
103,11.3,B,D
104,11.4,AB,AB
105,11.5,AD,ABC
106,11.6,C,A
107,11.7,C,D
108,11.8,D,D
109,11.9,B,BCD
110,11.10,AB,AB
111,12.1,ABD,ABD
112,12.2,C,C
113,12.3,E,C
114,12.4,ABD,D
115,12.5,ABD,ABD
116,12.6,C,C
117,12.7,A,A
118,12.8,B,D
119,12.9,D,D
120,12.10,D,D
121,13.1,D,D
122,13.2,ACD,AC
123,13.3,ABD,ABD
124,13.4,ABD,AC
125,13.5,B,B
126,13.6,BCD,BCD
127,13.7,D,B
128,13.8,ABD,ABD
129,13.9,ABCD,ABCD
130,14.1,A,D
131,14.2,ABD,BD
132,14.3,E,B
133,14.4,BCD,BCD
134,14.5,ABC,ABC
135,14.6,ABCD,AC
136,14.7,ABCD,BC
137,15.1,AD,ABD
138,15.2,D,D
139,15.3,B,B
140,15.4,ABCD,ACD
141,15.5,E,ABCD
142,15.6,B,C
143,15.7,ABCD,ABCD
144,15.8,ABC,ABCD
145,15.9,ACD,AC
146,15.10,ABCD,ACD
147,16.1,E,ACD
148,16.2,D,D
149,16.3,ACD,AC
150,16.4,B,B
151,16.5,AC,ABD
152,16.6,B,D
153,16.7,ABCD,ABC
154,16.8,AB,BD
155,16.9,ABCD,BCD
156,16.10,B,B
157,17.1,AB,ABD
158,17.2,A,B
159,17.3,C,C
160,17.4,D,D
161,17.5,B,C
162,17.6,C,B
163,17.7,B,B
164,17.8,B,B
165,17.9,CD,BCD
166,18.1,C,C
167,18.2,ABCD,BC
168,18.3,BCD,BD
169,18.4,D,A
170,18.5,C,A
171,18.6,B,C
172,18.7,D,C
173,18.8,ABC,ABC
174,18.9,ABD,A
175,18.10,A,A
176,19.1,B,B
177,19.2,B,D
178,19.3,ABCD,ABD
179,19.4,ABCD,无标准答案
180,19.5,C,D
181,19.6,C,B
182,19.7,ABCD,AC
183,19.8,ABD,BD
184,19.9,C,D
185,19.10,B,B
186,20.1,ABCD,BCD
187,20.2,C,D
188,20.3,B,D
189,20.4,C,C
190,20.5,ABD,AB
191,20.6,B,B
192,20.7,AB,AB
193,20.8,A,A
194,20.9,C,D
195,20.10,ACD,D
196,21.1,ABCD,ABCD
197,21.2,D,D
198,21.3,B,D
199,21.4,A,A
200,21.5,ABCD,BD
201,22.1,ABD,AB
202,22.2,ABD,AD
203,22.3,B,C
204,22.4,D,D
205,22.5,C,C
206,22.6,D,D
207,22.7,C,C
208,22.8,ACD,ACD
209,22.9,B,B
210,22.10,ABCD,ABC
211,23.1,E,AB
212,23.2,ACD,ABC
213,23.3,B,A
214,23.4,B,B
215,23.5,BD,BD
216,23.6,BCD,BCD
217,23.7,ABD,ACD
218,23.8,C,A
219,23.9,ABCD,BCD
220,23.10,C,C
221,24.1,E,D
222,24.2,B,B
223,24.3,A,A
224,24.4,B,A
225,24.5,C,C
226,24.6,B,B
227,24.7,E,ACD
228,24.8,BD,BD
229,24.9,ABCD,ABD
230,24.10,ACD,BC
231,25.1,ABD,BD
232,25.2,D,D
233,25.3,ACD,AC
234,25.4,D,D
235,25.5,B,B
236,25.6,ABCD,ABD
237,25.7,ABCD,ABCD
238,25.8,ABCD,BCD
239,25.9,AB,AB
240,25.10,B,B
241,26.1,ABCD,AB
242,26.2,E,ACD
243,26.3,ABC,BC
244,26.4,B,B
245,26.5,C,B
246,26.6,E,B
247,26.7,ABD,ABCD
248,26.8,ABD,ABCD
249,26.9,CD,CD
250,26.10,AB,BC
251,27.1,A,C
252,27.2,ABD,BD
253,27.3,A,A
254,27.4,ABCD,AB
255,27.5,ABCD,ABCD
256,27.6,BC,BC
257,27.7,ABCD,ABC
258,27.8,ABCD,ACD
259,27.9,ABCD,ABD
260,27.10,E,B
261,28.1,ACD,ACD
262,28.2,AB,ABC
263,28.3,C,A
264,28.4,ABCD,ABD
265,28.5,ABCD,B
266,28.6,B,D
267,28.7,A,A
268,28.8,C,C
269,28.9,C,C
270,28.10,BCD,BD
271,29.1,E,BCD
272,29.2,C,C
273,29.3,ABCD,CD
274,29.4,A,A
275,29.5,C,C
276,29.6,AB,BC
277,29.7,ACD,ABD
278,29.8,ABCD,ABCD
279,29.9,ABCD,ABD
280,29.10,A,B
281,30.1,B,C
282,30.2,BCD,CD
283,30.3,ABCD,ABD
284,30.4,D,B
285,30.5,A,C
286,30.6,B,C
287,30.7,ABCD,CD
288,30.8,D,A
289,30.9,AC,AC
290,30.10,AD,AD
291,31.1,AC,AC
292,31.2,BCD,BC
293,31.3,ABCD,ACD
294,31.4,D,C
295,31.5,C,C
296,31.6,B,C
297,31.7,B,D
298,31.8,C,C
299,31.9,ABD,ABD
300,31.10,B,D
301,32.1,AB,ACD
302,32.2,ABC,AC
303,32.3,A,C
304,32.4,C,B
305,32.5,D,D
306,32.6,ABCD,ABCD
307,32.7,ABCD,AC
308,32.8,A,A
309,32.9,C,D
310,32.10,D,D
311,33.1,ABD,ACD
312,33.2,ACD,ABCD
313,33.3,ABCD,BC
314,33.4,A,A
315,33.5,AC,BCD
316,33.6,ABC,BC
317,33.7,ABCD,ABC
318,33.8,ABCD,AC
319,33.9,C,C
320,33.10,AB,BC
321,34.1,ABD,AD
322,34.2,C,C
323,34.3,ABCD,AC
324,34.4,AC,ABC
325,34.5,C,C
326,34.6,E,D
327,34.7,CD,BCD
328,34.8,BD,BD
329,34.9,C,C
330,34.10,A,D
331,34.11,D,D
332,34.12,ABCD,CD
333,35.1,C,C
334,35.2,B,B
335,35.3,D,D
336,35.4,ABCD,ABCD
337,35.5,A,C
338,35.6,A,D
339,35.7,E,C
340,35.8,ABCD,ABCD
341,35.9,D,D
342,36.1,C,C
343,36.2,C,A
344,36.3,B,B
345,36.4,ABC,ABD
346,36.5,C,D
347,36.6,B,C
348,36.7,C,C
349,36.8,A,A
350,36.9,ABC,AB
351,36.10,E,D
352,37.1,B,C
353,37.2,ABD,ABD
354,37.3,ACD,AC
355,37.4,E,B
356,37.5,C,C
357,37.6,E,C
358,37.7,E,ABD
359,37.8,BCD,AB
360,37.9,BCD,BC
361,37.10,ABC,ABC
362,38.1,B,B
363,38.2,C,C
364,38.3,C,D
365,38.4,C,C
366,38.5,ABCD,ABC
367,38.6,A,B
368,38.7,B,D
369,38.8,D,D
370,38.9,C,C
371,39.1,BCD,BC
372,39.2,D,D
373,39.3,D,D
374,39.4,AB,B
375,39.5,AD,AC
376,39.6,B,A
377,39.7,A,C
378,39.8,A,A
379,39.9,ABC,BC
380,39.10,B,B
381,40.1,E,ACD
382,40.2,A,D
383,40.3,C,B
384,40.4,ACD,AD
385,40.5,ACD,AD
386,40.6,BD,B
387,40.7,ACD,ACD
388,40.8,C,C
389,40.9,E,D
390,40.10,ABC,ABC
391,41.1,D,D
392,41.2,BCD,ABCD
393,41.3,B,A
394,41.4,C,C
395,41.5,E,C
396,41.6,ABCD,AC
397,41.7,ABCD,AC
398,41.8,A,A
399,41.9,ABCD,ACD
400,41.10,C,B
401,42.1,AD,AD
402,42.2,AB,ABD
403,42.3,B,B
404,42.4,C,C
405,42.5,D,D
406,42.6,C,C
407,42.7,C,C
408,42.8,D,D
409,42.9,D,B
410,42.10,A,B
411,42.11,B,B
412,42.12,B,B
413,42.13,E,D
414,42.14,D,D
415,42.15,AB,BCD
416,43.1,ABCD,BCD
417,43.2,ABCD,ACD
418,43.3,A,B
419,43.4,A,C
420,43.5,C,C
421,43.6,ABCD,ABCD
422,43.7,B,C
423,43.8,D,D
424,43.9,ABD,ABD
425,43.10,ABCD,BD
426,44.1,E,D
427,44.2,E,ABC
428,44.3,B,B
429,44.4,ABCD,BC
430,44.5,ABCD,ABD
431,44.6,A,D
432,44.7,D,B
433,44.8,ABCD,BCD
434,45.1,BC,BC
435,45.2,D,A
436,45.3,ABD,ACD
437,45.4,B,D
438,45.5,ABCD,ABCD
439,45.6,B,C
440,45.7,ABC,ABC
441,45.8,ACD,AC
442,45.9,ACD,ACD
443,45.10,ABCD,ABD
444,46.1,C,C
445,46.2,B,C
446,46.3,B,A
447,46.4,B,B
448,46.5,B,B
449,46.6,E,D
450,46.7,ABD,AB
451,46.8,B,D
452,46.9,ABCD,ABC
453,46.10,E,C
454,47.1,ABD,ABD
455,47.2,C,C
456,47.3,BCD,AC
457,47.4,ABD,ABD
458,47.5,C,C
459,47.6,A,A
460,47.7,B,D
461,,测评最终结果,共47道大题，460道具体题目。其中，188题完全正确，21题部分正确，217题多选或错选，34题未答或漏答。严格正确率：40.869565217391305%，弹性正确率：43.8768115942029%
