,题号,模型答案,正确答案
1,1.1,C,C
2,1.2,CD,BC
3,1.3,B,B
4,1.4,B,B
5,1.5,C,C
6,1.6,BC,BD
7,1.7,BC,ABC
8,1.8,A,AC
9,1.9,B,AB
10,1.10,B,ABCD
11,2.1,B,B
12,2.2,B,BCD
13,2.3,B,B
14,2.4,B,AB
15,2.5,BC,AC
16,2.6,B,AD
17,2.7,B,B
18,2.8,B,D
19,2.9,C,C
20,2.10,C,D
21,3.1,ABC,AD
22,3.2,C,AC
23,3.3,ABC,AC
24,3.4,B,C
25,3.5,B,B
26,3.6,BCD,BD
27,3.7,B,B
28,3.8,D,D
29,3.9,B,D
30,3.10,BC,AC
31,4.1,A,A
32,4.2,C,C
33,4.3,B,C
34,4.4,D,D
35,4.5,B,D
36,4.6,C,C
37,4.7,B,ABCD
38,4.8,BCD,ABCD
39,4.9,B,C
40,4.10,AB,ABC
41,5.1,D,D
42,5.2,AB,AC
43,5.3,A,ABD
44,5.4,BC,AC
45,5.5,C,B
46,5.6,B,A
47,5.7,B,C
48,5.8,C,B
49,5.9,B,ABD
50,5.10,BC,ABCD
51,6.1,BD,ABD
52,6.2,B,D
53,6.3,B,C
54,6.4,BD,ABC
55,6.5,BC,BC
56,6.6,C,B
57,6.7,B,B
58,6.8,BCD,BD
59,6.9,D,D
60,6.10,AB,ABC
61,7.1,B,B
62,7.2,BCD,ABC
63,7.3,D,ABD
64,7.4,BC,ABC
65,7.5,BC,BC
66,7.6,BC,ABCD
67,7.7,AB,AC
68,7.8,BC,ABD
69,7.9,A,BCD
70,7.10,B,D
71,8.1,BD,ABD
72,8.2,D,D
73,8.3,B,B
74,8.4,BCD,ACD
75,8.5,A,ABCD
76,8.6,A,C
77,8.7,C,ABCD
78,8.8,B,ABCD
79,8.9,C,AC
80,8.10,B,B
81,9.1,C,BD
82,9.2,B,ABD
83,9.3,B,C
84,9.4,B,B
85,9.5,C,CD
86,9.6,B,BCD
87,9.7,B,B
88,9.8,B,ABD
89,9.9,B,BC
90,9.10,D,C
91,10.1,AB,AB
92,10.2,B,D
93,10.3,D,D
94,10.4,B,B
95,10.5,AB,AC
96,10.6,C,B
97,10.7,C,AC
98,10.8,C,A
99,10.9,BC,BC
100,10.10,B,B
101,11.1,A,ABD
102,11.2,C,C
103,11.3,D,D
104,11.4,B,AB
105,11.5,C,ABC
106,11.6,C,A
107,11.7,A,D
108,11.8,B,D
109,11.9,B,BCD
110,11.10,B,AB
111,12.1,BD,ABD
112,12.2,D,C
113,12.3,C,C
114,12.4,B,D
115,12.5,BD,ABD
116,12.6,B,C
117,12.7,B,A
118,12.8,C,D
119,12.9,D,D
120,12.10,C,D
121,13.1,D,D
122,13.2,AD,AC
123,13.3,A,ABD
124,13.4,BC,AC
125,13.5,C,B
126,13.6,BD,BCD
127,13.7,C,B
128,13.8,BD,ABD
129,13.9,BD,ABCD
130,14.1,B,D
131,14.2,C,BD
132,14.3,B,B
133,14.4,C,BCD
134,14.5,BC,ABC
135,14.6,CD,AC
136,14.7,CD,BC
137,15.1,BD,ABD
138,15.2,A,D
139,15.3,B,B
140,15.4,BCD,ACD
141,15.5,B,ABCD
142,15.6,A,C
143,15.7,C,ABCD
144,15.8,B,ABCD
145,15.9,C,AC
146,15.10,BD,ACD
147,16.1,BC,ACD
148,16.2,D,D
149,16.3,BCD,AC
150,16.4,B,B
151,16.5,AB,ABD
152,16.6,B,D
153,16.7,BC,ABC
154,16.8,BD,BD
155,16.9,A,BCD
156,16.10,B,B
157,17.1,AB,ABD
158,17.2,B,B
159,17.3,C,C
160,17.4,D,D
161,17.5,D,C
162,17.6,C,B
163,17.7,B,B
164,17.8,B,B
165,17.9,CD,BCD
166,18.1,C,C
167,18.2,BD,BC
168,18.3,ABC,BD
169,18.4,B,A
170,18.5,C,A
171,18.6,B,C
172,18.7,B,C
173,18.8,BC,ABC
174,18.9,B,A
175,18.10,A,A
176,19.1,D,B
177,19.2,B,D
178,19.3,BC,ABD
179,19.4,D,无标准答案
180,19.5,B,D
181,19.6,B,B
182,19.7,BC,AC
183,19.8,B,BD
184,19.9,C,D
185,19.10,D,B
186,20.1,AB,BCD
187,20.2,C,D
188,20.3,D,D
189,20.4,C,C
190,20.5,ABD,AB
191,20.6,D,B
192,20.7,ABC,AB
193,20.8,B,A
194,20.9,B,D
195,20.10,C,D
196,21.1,BC,ABCD
197,21.2,D,D
198,21.3,B,D
199,21.4,B,A
200,21.5,BC,BD
201,22.1,ABC,AB
202,22.2,D,AD
203,22.3,B,C
204,22.4,B,D
205,22.5,D,C
206,22.6,B,D
207,22.7,B,C
208,22.8,BC,ACD
209,22.9,B,B
210,22.10,BC,ABC
211,23.1,BC,AB
212,23.2,BC,ABC
213,23.3,B,A
214,23.4,D,B
215,23.5,B,BD
216,23.6,B,BCD
217,23.7,BD,ACD
218,23.8,B,A
219,23.9,BC,BCD
220,23.10,C,C
221,24.1,D,D
222,24.2,B,B
223,24.3,B,A
224,24.4,B,A
