,模型答案,真实答案
1,C,AC
2,ABD,ABD
3,ABD,ACD
4,A,AC
5,BC,BC
6,AB,AB
7,A,AB
8,BC,BCD
9,BD,BC
10,ABD,AD
11,AB,AB
12,AB,AB
13,ABC,ABCD
14,ABC,ABC
15,ABC,ABC
16,B,BC
17,AC,ABCD
18,BD,ABD
19,BCD,ABCD
20,ABC,BC
21,AD,ABD
22,ABCD,BC
23,BD,BD
24,ACD,AC
25,ABD,ABD
26,D,BCD
27,BCD,BCD
28,AB,ABC
29,ABD,ABC
30,BC,ABCD
31,A,AD
32,AC,AC
33,D,AD
34,AD,ABD
35,B,AB
36,D,ABC
37,A,ABD
38,C,CD
39,C,ABD
40,C,ABCD
41,B,BD
42,AC,CD
43,ABD,ABD
44,AC,ABC
45,A,ACD
46,ABCD,ACD
47,D,BD
48,ABD,ABD
49,ABCD,ABD
50,ABCD,ABCD
51,AD,ABD
52,BCD,ACD
53,B,BD
54,ABC,ABC
55,ABCD,ABD
56,C,BCD
57,ABC,BCD
58,ACD,ABCD
59,AC,AC
60,ABD,AB
61,AD,ACD
62,C,ABC
63,ABCD,AD
64,ABCD,ABCD
65,AC,AC
66,AB,ABD
67,ABCD,ABCD
68,AD,ABC
69,ABCD,ACD
70,ABCD,ABC
71,AC,BCD
72,D,CD
73,C,ABC
74,ABC,ABCD
75,ABC,AC
76,AD,AD
77,BD,BCD
78,ACD,ABD
79,ABCD,ABC
80,ABCD,CD
81,ABCD,ACD
82,AC,AC
83,AD,ACD
84,CD,BCD
85,BC,BC
86,ABC,ABC
87,BCD,BCD
88,ABD,BD
89,AB,AB
90,B,BC
91,ABC,ABC
92,B,AB
93,ABCD,BCD
94,ABD,AD
95,BC,BC
96,ABC,ABC
97,BCD,BC
98,ABD,ABCD
99,A,ABD
100,AB,AB
101,BCD,BCD
102,ABC,ABCD
103,B,ABC
104,D,CD
105,D,BCD
106,ABCD,AB
107,ABC,BC
108,AD,ACD
109,AD,ACD
110,ABCD,BCD
111,ABD,ABD
112,ABC,BD
113,AD,ABD
114,AC,AC
115,AB,AB
116,C,ACD
117,C,CD
118,B,AD
119,ABCD,AC
120,ABC,BC
121,ABC,AC
122,ABCD,ABCD
123,AD,AD
124,A,AB
125,B,BC
126,ABC,ABC
127,ABC,ABC
128,ABCD,ABCD
129,ABC,ABC
130,BCD,CD
131,A,ABD
132,AC,AC
133,ABC,ABC
134,ABCD,BCD
135,C,CD
136,AB,ABD
137,ACD,ACD
138,AC,ABC
139,BC,BC
140,ACD,ACD
141,BCD,BD
142,ABCD,BC
143,BD,ABD
144,BCD,BCD
145,AB,BD
146,BCD,BCD
147,BCD,BCD
148,ABCD,ABCD
149,C,AB
150,ABD,AD
151,B,ACD
152,ABD,ABD
153,ABC,ABC
154,ACD,ACD
155,ABC,ABC
156,AC,ACD
157,C,CD
158,ABC,ABCD
159,ABC,AC
160,B,ABC
161,ABC,ABCD
162,AD,AD
163,ABC,ABC
164,ABCD,ACD
165,A,AB
166,ABCD,ABD
167,ABC,ABC
168,ABD,ABCD
169,BD,BD
170,ACD,AC
171,ABCD,ABCD
172,BC,ABC
173,C,ACD
174,ACD,AC
175,AC,ABC
176,ABCD,ABCD
177,ABC,ABC
178,ABCD,AC
179,AC,ABCD
180,ABCD,ABCD
181,ABCD,ABCD
182,B,ABC
183,AC,ACD
184,BCD,BCD
185,CD,CD
186,ABD,BD
187,ABC,ABC
188,AB,AB
189,C,ABC
190,ABCD,ABCD
191,C,AC
192,ACD,ACD
193,ABCD,ABCD
194,D,ABC
195,ACD,AB
196,ABD,ABD
197,ACD,ACD
198,C,BCD
199,B,AB
200,AD,CD
201,ABCD,AB
202,ACD,AC
203,ABCD,ABD
204,BD,BD
205,ACD,BC
206,BCD,BD
207,ABCD,AC
208,ABC,BC
209,ABCD,AC
210,ABD,ABD
211,ABCD,ABD
212,ABD,AB
213,AB,AB
214,C,CD
215,C,CD
216,ABC,ABC
217,B,BC
218,AB,AB
219,C,AC
220,ABC,ABC
221,BCD,BCD
222,B,BD
223,ABCD,BC
224,CD,ABCD
225,D,CD
226,ABCD,BD
227,ABCD,BCD
228,ABD,ABD
229,AB,AB
230,ABC,ABC
231,ABC,ABC
232,A,AD
233,ABD,ABD
234,D,AD
235,ABC,AC
236,D,ABC
237,AD,BCD
238,AB,AB
239,BD,ABD
240,C,CD
241,测评最终结果,共240题，83题完全正确，85题部分正确，72题多选或错选。严格正确率：34.583333333333336%，弹性正确率：53.61111111111112%
