,模型答案,真实答案
1,B,ABD
2,A,AD
3,A,ABC
4,B,BCD
5,B,ABC
6,A,AB
7,D,ABD
8,ABCD,ABD
9,D,ABCD
10,D,BD
11,B,AB
12,BCD,ABC
13,B,BC
14,D,AD
15,D,CD
16,D,CD
17,C,CD
18,D,AD
19,ABCD,ABC
20,D,CD
21,A,ABCD
22,A,ACD
23,BCD,BCD
24,BCD,BCD
25,B,BD
26,BCD,BC
27,D,ABD
28,D,CD
29,BCD,BCD
30,A,CD
31,C,ABC
32,D,ABCD
33,BCD,ABCD
34,A,AD
35,D,ACD
36,B,ABC
37,D,ABCD
38,B,ABCD
39,A,AD
40,C,AC
41,D,ABD
42,B,BD
43,B,ABC
44,BCD,ABCD
45,D,CD
46,B,BD
47,A,AC
48,D,BCD
49,B,ABC
50,B,ABC
51,B,AB
52,BCD,BCD
53,B,ABC
54,A,ABC
55,C,BCD
56,D,CD
57,B,ABC
58,B,BD
59,B,ABC
60,A,AB
61,D,AD
62,D,ACD
63,BCD,BCD
64,B,BD
65,D,CD
66,A,AC
67,B,ABC
68,B,ABCD
69,B,ABC
70,BCD,BCD
71,D,ABCD
72,A,ABC
73,B,ABD
74,D,AD
75,A,ABC
76,B,ABC
77,B,ABCD
78,A,AB
79,D,ABC
80,B,BCD
81,B,ABCD
82,A,AC
83,D,BCD
84,D,ABCD
85,B,AB
86,B,BCD
87,B,BD
88,BCD,ABCD
89,C,ABC
90,BCD,BCD
91,D,AD
92,A,ABC
93,BCD,BCD
94,D,CD
95,B,ABC
96,B,ABC
97,B,AB
98,A,AB
99,B,ABC
100,D,ACD
101,A,AB
102,B,BD
103,D,ABD
104,B,ABCD
105,B,ABC
106,A,AC
107,D,CD
108,B,BD
109,A,AC
110,A,ABC
111,测评最终结果,共110题，8题完全正确，96题部分正确，6题多选或错选。严格正确率：7.2727272727272725%，弹性正确率：43.181818181818194%
