,模型答案,真实答案
1,B,BD
2,D,ABD
3,D,ABCD
4,ABCD,ABC
5,C,ABC
6,B,ABD
7,A,ABC
8,B,ABC
9,D,CD
10,B,ABC
11,ACD,ACD
12,D,ABCD
13,A,AC
14,B,ACD
15,D,ABCD
16,B,ABC
17,BCD,BCD
18,D,ACD
19,A,ABC
20,BCD,ABCD
21,D,CD
22,A,ACD
23,D,BCD
24,A,AC
25,B,BC
26,A,AB
27,A,AB
28,D,ABCD
29,B,BD
30,D,BCD
31,B,AD
32,D,AD
33,BCD,ABCD
34,D,CD
35,D,AD
36,D,BD
37,D,CD
38,B,BC
39,D,CD
40,ABCD,ABCD
41,A,AC
42,B,ABC
43,A,ACD
44,D,CD
45,BCD,BC
46,BD,ABD
47,B,ABC
48,B,ABD
49,测评最终结果,共48题，3题完全正确，41题部分正确，4题多选或错选。严格正确率：6.25%，弹性正确率：42.70833333333333%
