,模型答案,真实答案
1,C,AC
2,A,ABD
3,AB,ACD
4,B,AC
5,B,BC
6,B,AB
7,A,AB
8,B,BCD
9,ABD,BC
10,A,AD
11,B,AB
12,B,AB
13,B,ABCD
14,AB,ABC
15,BC,ABC
16,AD,BC
17,B,ABCD
18,AD,ABD
19,B,ABCD
20,B,BC
21,B,ABD
22,AB,BC
23,B,BD
24,B,AC
25,B,ABD
26,D,BCD
27,B,BCD
28,AB,ABC
29,B,ABC
30,BC,ABCD
31,A,AD
32,B,AC
33,D,AD
34,D,ABD
35,B,AB
36,ABD,ABC
37,B,ABD
38,B,CD
39,B,ABD
40,B,ABCD
41,AB,BD
42,A,CD
43,AD,ABD
44,AD,ABC
45,AB,ACD
46,AB,ACD
47,AB,BD
48,AC,ABD
49,AB,ABD
50,B,ABCD
51,A,ABD
52,B,ACD
53,AB,BD
54,AB,ABC
55,B,ABD
56,AD,BCD
57,A,BCD
58,C,ABCD
59,A,AC
60,A,AB
61,A,ACD
62,C,ABC
63,B,AD
64,AC,ABCD
65,AD,AC
66,B,ABD
67,AC,ABCD
68,AD,ABC
69,AB,ACD
70,A,ABC
71,ABD,BCD
72,B,CD
73,A,ABC
74,B,ABCD
75,B,AC
76,AD,AD
77,AB,BCD
78,AD,ABD
79,A,ABC
80,AB,CD
81,ABCD,ACD
82,AB,AC
83,AD,ACD
84,AB,BCD
85,A,BC
86,ABC,ABC
87,AD,BCD
88,A,BD
89,AC,AB
90,C,BC
91,B,ABC
92,AB,AB
93,AC,BCD
94,B,AD
95,AC,BC
96,AC,ABC
97,B,BC
98,AB,ABCD
99,A,ABD
100,AD,AB
101,BCD,BCD
102,AC,ABCD
103,B,ABC
104,AB,CD
105,B,BCD
106,A,AB
107,B,BC
108,B,ACD
109,B,ACD
110,ABD,BCD
111,BC,ABD
112,AB,BD
113,D,ABD
114,C,AC
115,A,AB
116,AD,ACD
117,B,CD
118,AB,AD
119,C,AC
120,AB,BC
121,AB,AC
122,A,ABCD
123,A,AD
124,AB,AB
125,AB,BC
126,AD,ABC
127,AB,ABC
128,ABCD,ABCD
129,AB,ABC
130,ABCD,CD
131,AD,ABD
132,AD,AC
133,AB,ABC
134,AB,BCD
135,C,CD
136,B,ABD
137,AC,ACD
138,AC,ABC
139,B,BC
140,AD,ACD
141,B,BD
142,C,BC
143,B,ABD
144,AB,BCD
145,A,BD
146,BC,BCD
147,BCD,BCD
148,AB,ABCD
149,C,AB
150,AB,AD
151,B,ACD
152,B,ABD
153,A,ABC
154,AB,ACD
155,ABD,ABC
156,ABD,ACD
157,D,CD
158,B,ABCD
159,B,AC
160,B,ABC
161,AC,ABCD
162,A,AD
163,AB,ABC
164,AB,ACD
165,A,AB
166,AB,ABD
167,B,ABC
168,ABD,ABCD
169,B,BD
170,A,AC
171,ABD,ABCD
172,B,ABC
173,D,ACD
174,D,AC
175,AC,ABC
176,D,ABCD
177,AB,ABC
178,B,AC
179,AD,ABCD
180,AB,ABCD
181,AB,ABCD
182,BC,ABC
183,AC,ACD
184,AC,BCD
185,ABD,CD
186,AB,BD
187,ABD,ABC
188,AB,AB
189,B,ABC
190,AB,ABCD
191,ABD,AC
192,AC,ACD
193,AB,ABCD
194,BC,ABC
195,AC,AB
196,ABD,ABD
197,C,ACD
198,BCD,BCD
199,AB,AB
200,ABC,CD
201,AC,AB
202,C,AC
203,AB,ABD
204,B,BD
205,AD,BC
206,B,BD
207,D,AC
208,AB,BC
209,AD,AC
210,AB,ABD
211,AB,ABD
212,AB,AB
213,AB,AB
214,D,CD
215,D,CD
216,A,ABC
217,BC,BC
218,AB,AB
219,C,AC
220,B,ABC
221,C,BCD
222,A,BD
223,B,BC
224,AD,ABCD
225,C,CD
226,D,BD
227,AC,BCD
228,AB,ABD
229,B,AB
230,AD,ABC
231,AB,ABC
232,A,AD
233,AD,ABD
234,B,AD
235,AB,AC
236,BCD,ABC
237,BD,BCD
238,AB,AB
239,B,ABD
240,D,CD
241,测评最终结果,共240题，16题完全正确，139题部分正确，85题多选或错选。严格正确率：6.666666666666667%，弹性正确率：34.58333333333333%
