,题号,模型答案,正确答案
1,1.1,AC,AC
2,1.2,C,AC
3,1.3,A,C
4,1.4,ABC,ABCD
5,1.5,ABD,ABD
6,1.6,B,B
7,1.7,C,C
8,1.8,A,CD
9,1.9,A,BCD
10,1.10,BC,BC
11,1.11,C,A
12,1.12,B,D
13,2.1,BD,BD
14,2.2,A,ACD
15,2.3,A,BCD
16,2.4,BC,ABCD
17,2.5,A,ABD
18,2.6,B,B
19,2.7,B,C
20,2.8,BCD,BD
21,2.9,CD,AC
22,2.10,BCD,ABCD
23,3.1,A,BD
24,3.2,ACD,ABCD
25,3.3,B,ABC
26,3.4,ACD,BCD
27,3.5,A,AC
28,3.6,B,A
29,3.7,B,A
30,3.8,CD,AD
31,4.1,BCD,BCD
32,4.2,A,AB
33,4.3,D,C
34,4.4,BC,BC
35,4.5,ABCD,ABC
36,4.6,A,ABCD
37,4.7,A,B
38,4.8,B,D
39,4.9,C,C
40,4.10,B,B
41,4.11,A,A
42,4.12,C,D
43,4.13,B,B
44,4.14,C,C
45,4.15,CD,AB
46,5.1,ACD,ACD
47,5.2,A,AB
48,5.3,ABCD,BD
49,5.4,ABC,AB
50,5.5,B,B
51,5.6,B,BD
52,5.7,CD,ABCD
53,5.8,B,BC
54,5.9,BC,ABC
55,5.10,A,A
56,5.11,B,B
57,5.12,A,ABCD
58,6.1,B,B
59,6.2,AC,AC
60,6.3,D,A
61,6.4,ABD,ABD
62,6.5,C,C
63,6.6,B,A
64,6.7,B,C
65,6.8,B,B
66,6.9,CD,CD
67,6.10,A,ABC
68,6.11,ABCD,ACD
69,6.12,B,B
70,7.1,BC,BC
71,7.2,B,B
72,7.3,B,C
73,7.4,B,D
74,7.5,BC,ABCD
75,7.6,B,B
76,7.7,B,D
77,7.8,C,BD
78,7.9,ACD,AB
79,7.10,BD,ACD
80,7.11,A,AC
81,7.12,B,D
82,7.13,E,ABD
83,7.14,B,C
84,7.15,D,A
85,7.16,BCD,BCD
86,7.17,B,ABC
87,7.18,D,A
88,7.19,B,C
89,7.20,C,AC
90,7.21,A,CD
91,8.1,A,AC
92,8.2,B,C
93,8.3,B,B
94,8.4,D,A
95,8.5,BCD,ACD
96,8.6,B,A
97,8.7,C,ABD
98,8.8,BC,BC
99,9.1,BD,BD
100,9.2,B,B
101,9.3,AC,ACD
102,9.4,A,ACD
103,9.5,B,C
104,9.6,B,B
105,9.7,A,A
106,9.8,A,BC
107,10.1,D,D
108,10.2,C,CD
109,10.3,C,A
110,10.4,B,BC
111,10.5,C,C
112,10.6,B,C
113,10.7,A,ABCD
114,10.8,C,C
115,10.9,B,C
116,10.10,B,B
117,10.11,C,C
118,10.12,BCD,BCD
119,11.1,B,B
120,11.2,ABCD,ABCD
121,11.3,B,D
122,11.4,A,A
123,11.5,D,C
124,11.6,BC,AB
125,11.7,B,D
126,11.8,B,ABD
127,11.9,B,A
128,11.10,B,BC
129,11.11,C,C
130,12.1,A,D
131,12.2,A,A
132,12.3,ACD,ACD
133,12.4,B,B
134,12.5,B,B
135,12.6,C,B
136,12.7,CD,AB
137,12.8,ABD,AD
138,12.9,CD,CD
139,12.10,D,B
140,13.1,A,ABC
141,13.2,A,ABD
142,13.3,E,BCD
143,13.4,B,B
144,13.5,B,C
145,13.6,B,B
146,13.7,A,BCD
147,13.8,A,ABCD
148,13.9,B,A
149,13.10,A,AD
150,13.11,ABCD,ABC
151,14.1,D,D
152,14.2,D,B
153,14.3,D,A
154,14.4,BC,ABCD
155,14.5,BD,BCD
156,14.6,B,D
157,14.7,AC,AC
158,14.8,AB,BD
159,14.9,ABCD,ABCD
160,14.10,A,AB
161,15.1,C,CD
162,15.2,A,ABCD
163,15.3,ACD,AC
164,15.4,B,B
165,15.5,CD,ABC
166,15.6,A,BD
167,15.7,B,B
168,15.8,C,BC
169,15.9,D,D
170,15.10,ACD,ABCD
171,15.11,D,C
172,15.12,BCD,BCD
173,16.1,C,BCD
174,16.2,ACD,ACD
175,16.3,B,B
176,16.4,D,D
177,16.5,E,AD
178,16.6,B,A
179,16.7,CD,BCD
180,16.8,A,ABCD
181,16.9,A,A
182,16.10,B,A
183,16.11,BD,ABD
184,16.12,ABCD,ABC
185,16.13,B,D
186,16.14,B,AC
187,16.15,C,C
188,16.16,B,A
189,16.17,ABC,CD
190,16.18,B,B
191,16.19,B,D
192,16.20,A,ABD
193,16.21,BCD,BCD
194,16.22,AC,ACD
195,17.1,E,ABD
196,17.2,D,ABC
197,17.3,B,ABC
198,17.4,A,ABD
199,17.5,B,B
200,17.6,B,C
201,17.7,C,B
202,17.8,A,AC
203,17.9,ABCD,ABCD
204,17.10,D,D
205,18.1,A,ABCD
206,18.2,D,D
207,18.3,A,A
208,18.4,D,D
209,18.5,C,C
210,18.6,B,B
211,18.7,ABCD,AB
212,18.8,B,C
213,18.9,C,AB
214,18.10,CD,CD
215,18.11,C,B
216,18.12,D,ACD
217,18.13,B,A
218,18.14,D,ABD
219,18.15,BCD,BCD
220,19.1,AD,AD
221,19.2,B,A
222,19.3,BCD,BC
223,19.4,A,AB
224,19.5,A,ACD
225,19.6,D,AC
226,19.7,A,AC
227,19.8,AC,AC
228,19.9,AC,ACD
229,19.10,B,C
230,19.11,A,ABC
231,19.12,ACD,AC
232,19.13,D,D
233,19.14,CD,BC
234,19.15,A,AB
235,19.16,A,BCD
236,19.17,D,B
237,19.18,E,BC
238,19.19,BCD,AC
239,20.1,B,BC
240,20.2,D,D
241,20.3,ABC,ABC
242,20.4,D,ACD
243,20.5,A,BC
244,20.6,AD,AB
245,20.7,B,B
246,20.8,AB,ABD
247,20.9,A,AC
248,20.10,B,A
249,20.11,B,BD
250,20.12,ABCD,ABCD
251,21.1,B,BD
252,21.2,A,AC
253,21.3,B,ACD
254,21.4,A,BCD
255,21.5,B,A
256,21.6,B,B
257,21.7,B,D
258,21.8,C,C
259,21.9,BCD,BCD
260,21.10,ABC,ABCD
261,22.1,A,A
262,22.2,E,AD
263,22.3,B,B
264,22.4,C,C
265,22.5,C,CD
266,22.6,A,ABCD
267,22.7,ABCD,ABC
268,22.8,AD,ABD
269,22.9,B,B
270,22.10,B,D
271,23.1,D,D
272,23.2,B,BD
273,23.3,BCD,ABCD
274,23.4,D,CD
275,23.5,B,A
276,23.6,A,BC
277,23.7,B,B
278,23.8,C,C
279,23.9,C,ABCD
280,23.10,A,ABC
281,24.1,B,AB
282,24.2,B,BC
283,24.3,C,C
284,24.4,C,C
285,24.5,B,BCD
286,24.6,BCD,BD
287,24.7,D,ABC
288,24.8,B,B
289,24.9,ABCD,BC
290,24.10,E,ABC
291,24.11,ABCD,BC
292,24.12,ABD,AB
293,25.1,D,AD
294,25.2,D,B
295,25.3,D,B
296,25.4,BD,ABD
297,25.5,E,AB
298,25.6,B,C
299,25.7,A,A
300,25.8,A,AB
301,25.9,CD,BC
302,25.10,BC,AC
303,25.11,AD,ACD
304,25.12,ACD,ACD
305,25.13,BD,BCD
306,25.14,B,B
307,25.15,D,C
308,25.16,D,A
309,25.17,B,AB
310,25.18,ABD,AB
311,25.19,E,T分
312,25.20,D,C
313,25.21,BC,BCD
314,25.22,C,C
315,26.1,AC,AC
316,26.2,A,C
317,26.3,BC,CD
318,26.4,D,B
319,26.5,B,C
320,26.6,B,B
321,26.7,A,A
322,26.8,B,B
323,26.9,A,BC
324,26.10,B,AD
325,26.11,B,D
326,26.12,BD,BC
327,27.1,A,AB
328,27.2,ABD,ABD
329,27.3,B,A
330,27.4,CD,ABCD
331,27.5,D,ACD
332,27.6,D,BC
333,27.7,D,AC
334,27.8,C,B
335,27.9,A,ABD
336,27.10,ABCD,ABCD
337,28.1,ABCD,CD
338,28.2,AC,ACD
339,28.3,ACD,ACD
340,28.4,ACD,AD
341,28.5,BCD,ABCD
342,28.6,D,C
343,29.1,C,B
344,29.2,AB,ABD
345,29.3,BCD,AC
346,29.4,B,B
347,29.5,ABCD,ABD
348,29.6,D,A
349,29.7,B,A
350,29.8,C,B
351,29.9,A,AC
352,29.10,E,BCD
353,29.11,BC,ABC
354,29.12,C,B
355,29.13,B,BCD
356,29.14,BCD,CD
357,30.1,D,D
358,30.2,B,D
359,30.3,A,ABCD
360,30.4,C,C
361,30.5,BC,ABC
362,30.6,C,D
363,30.7,C,C
364,30.8,BD,ABCD
365,31.1,D,D
366,31.2,A,ABCD
367,31.3,ABD,ABD
368,31.4,C,A
369,31.5,A,ABCD
370,31.6,B,A
371,31.7,A,C
372,31.8,A,ABCD
373,32.1,A,AC
374,32.2,CD,BCD
375,32.3,B,C
376,32.4,A,ABCD
377,32.5,D,B
378,32.6,A,C
379,32.7,B,D
380,32.8,B,C
381,32.9,C,A
382,32.10,D,D
383,33.1,B,C
384,33.2,A,ABC
385,33.3,B,ABCD
386,33.4,A,D
387,33.5,A,A
388,33.6,AD,ABD
389,33.7,BC,ACD
390,33.8,D,D
391,33.9,A,AC
392,33.10,BD,ABD
393,33.11,B,D
394,33.12,AC,AD
395,33.13,B,C
396,33.14,A,AC
397,34.1,BCD,AB
398,34.2,C,BCD
399,34.3,B,C
400,34.4,D,ABD
401,34.5,AC,ABD
402,34.6,D,ABCD
403,34.7,C,C
404,34.8,ACD,ABCD
405,34.9,B,C
406,34.10,C,ABCD
407,34.11,ABCD,ABD
408,34.12,D,C
409,34.13,BCD,ACD
410,34.14,ABD,BCD
411,34.15,A,ABC
412,34.16,ABCD,ABD
413,34.17,C,BC
414,34.18,ACD,ABD
415,35.1,A,ABCD
416,35.2,A,B
417,35.3,B,D
418,35.4,CD,ACD
419,35.5,BCD,ABC
420,35.6,B,C
421,35.7,C,A
422,35.8,ACD,ABD
423,35.9,B,B
424,35.10,D,ABD
