,题号,模型答案,正确答案
1,1.1,C,C
2,1.2,B,BC
3,1.3,A,B
4,1.4,B,B
5,1.5,A,C
6,1.6,B,BD
7,1.7,B,ABC
8,1.8,A,AC
9,1.9,A,AB
10,1.10,A,ABCD
11,2.1,A,B
12,2.2,B,BCD
13,2.3,B,B
14,2.4,B,AB
15,2.5,C,AC
16,2.6,B,AD
17,2.7,B,B
18,2.8,B,D
19,2.9,C,C
20,2.10,A,D
21,3.1,A,AD
22,3.2,C,AC
23,3.3,D,AC
24,3.4,C,C
25,3.5,B,B
26,3.6,B,BD
27,3.7,B,B
28,3.8,A,D
29,3.9,B,D
30,3.10,D,AC
31,4.1,A,A
32,4.2,A,C
33,4.3,B,C
34,4.4,A,D
35,4.5,B,D
36,4.6,C,C
37,4.7,D,ABCD
38,4.8,A,ABCD
39,4.9,A,C
40,4.10,B,ABC
41,5.1,C,D
42,5.2,D,AC
43,5.3,A,ABD
44,5.4,A,AC
45,5.5,A,B
46,5.6,E,A
47,5.7,A,C
48,5.8,C,B
49,5.9,A,ABD
50,5.10,E,ABCD
51,6.1,A,ABD
52,6.2,B,D
53,6.3,C,C
54,6.4,A,ABC
55,6.5,A,BC
56,6.6,A,B
57,6.7,A,B
58,6.8,B,BD
59,6.9,A,D
60,6.10,A,ABC
61,7.1,A,B
62,7.2,B,ABC
63,7.3,A,ABD
64,7.4,D,ABC
65,7.5,C,BC
66,7.6,D,ABCD
67,7.7,A,AC
68,7.8,E,ABD
69,7.9,B,BCD
70,7.10,B,D
71,8.1,A,ABD
72,8.2,A,D
73,8.3,B,B
74,8.4,ABCD,ACD
75,8.5,A,ABCD
76,8.6,A,C
77,8.7,C,ABCD
78,8.8,B,ABCD
79,8.9,A,AC
80,8.10,B,B
81,9.1,B,BD
82,9.2,A,ABD
83,9.3,A,C
84,9.4,B,B
85,9.5,B,CD
86,9.6,A,BCD
87,9.7,C,B
88,9.8,A,ABD
89,9.9,A,BC
90,9.10,B,C
91,10.1,A,AB
92,10.2,B,D
93,10.3,A,D
94,10.4,B,B
95,10.5,A,AC
96,10.6,C,B
97,10.7,C,AC
98,10.8,A,A
99,10.9,C,BC
100,10.10,A,B
101,11.1,A,ABD
102,11.2,C,C
103,11.3,B,D
104,11.4,B,AB
105,11.5,C,ABC
106,11.6,B,A
107,11.7,A,D
108,11.8,B,D
109,11.9,B,BCD
110,11.10,B,AB
111,12.1,A,ABD
112,12.2,A,C
113,12.3,C,C
114,12.4,B,D
115,12.5,C,ABD
116,12.6,C,C
117,12.7,A,A
118,12.8,B,D
119,12.9,C,D
120,12.10,A,D
121,13.1,C,D
122,13.2,C,AC
123,13.3,A,ABD
124,13.4,A,AC
125,13.5,A,B
126,13.6,B,BCD
127,13.7,C,B
128,13.8,A,ABD
129,13.9,A,ABCD
130,14.1,B,D
131,14.2,B,BD
132,14.3,B,B
133,14.4,B,BCD
134,14.5,A,ABC
135,14.6,A,AC
136,14.7,C,BC
