,模型答案,真实答案
1,A,D
2,B,C
3,B,B
4,D,B
5,A,A
6,B,A
7,B,B
8,B,B
9,B,D
10,A,A
11,B,D
12,C,D
13,A,B
14,B,C
15,C,D
16,B,D
17,C,D
18,B,B
19,B,A
20,A,B
21,B,B
22,B,B
23,B,B
24,A,C
25,B,C
26,D,A
27,A,C
28,C,B
29,B,C
30,B,A
31,B,D
32,C,D
33,C,B
34,B,B
35,D,D
36,D,D
37,A,A
38,B,C
39,A,B
40,B,B
41,B,A
42,C,C
43,C,C
44,C,C
45,D,B
46,B,C
47,B,B
48,B,C
49,B,A
50,B,A
51,C,B
52,C,B
53,B,B
54,C,C
55,B,B
56,D,B
57,B,B
58,C,D
59,B,D
60,D,A
61,B,B
62,C,C
63,B,D
64,C,C
65,B,B
66,C,B
67,B,B
68,D,A
69,B,C
70,C,C
71,B,C
72,C,B
73,B,B
74,B,C
75,A,A
76,D,A
77,B,D
78,A,A
79,B,C
80,D,B
81,B,A
82,D,D
83,B,A
84,C,D
85,C,C
86,B,D
87,B,B
88,B,B
89,B,B
90,B,B
91,B,B
92,C,C
93,B,C
94,D,C
95,B,C
96,B,D
97,B,D
98,C,D
99,B,D
100,C,A
101,B,B
102,D,C
103,B,D
104,D,D
105,D,B
106,A,A
107,B,C
108,B,C
109,C,A
110,A,C
111,C,D
112,C,D
113,A,B
114,B,A
115,B,B
116,A,A
117,B,D
118,C,A
119,B,B
120,C,C
121,C,C
122,B,B
123,B,D
124,B,D
125,A,A
126,B,B
127,C,C
128,B,B
129,B,B
130,B,B
131,B,A
132,C,C
133,B,B
134,B,D
135,B,D
136,B,C
137,B,C
138,D,A
139,B,A
140,D,D
141,A,A
142,A,C
143,C,C
144,B,C
145,A,A
146,B,B
147,A,A
148,C,D
149,C,C
150,B,B
151,B,A
152,C,D
153,C,C
154,B,A
155,C,C
156,C,A
157,B,B
158,D,C
159,C,C
160,B,B
161,B,D
162,B,B
163,C,D
164,A,A
165,C,D
166,C,C
167,A,A
168,D,B
169,B,B
170,B,B
171,B,B
172,B,B
173,B,C
174,B,D
175,D,A
176,B,D
177,B,A
178,B,B
179,B,A
180,B,B
181,A,A
182,B,B
183,B,B
184,B,D
185,B,C
186,B,D
187,C,B
188,B,D
189,B,C
190,C,C
191,A,A
192,B,D
193,C,A
194,C,D
195,B,A
196,C,D
197,C,C
198,A,C
199,B,A
200,B,D
201,B,A
202,B,B
203,C,C
204,B,A
205,B,C
206,B,A
207,A,A
208,C,C
209,C,C
210,B,A
211,B,D
212,A,A
213,B,A
214,A,A
215,B,B
216,B,C
217,D,D
218,B,B
219,C,D
220,D,D
221,B,C
222,B,B
223,C,B
224,C,C
225,C,B
226,B,B
227,C,C
228,B,B
229,B,C
230,B,B
231,B,C
232,B,B
233,B,D
234,B,B
235,B,A
236,B,C
237,B,B
238,B,B
239,B,D
240,B,B
241,A,C
242,C,D
243,A,A
244,A,C
245,C,C
246,C,C
247,B,B
248,B,D
249,B,B
250,B,B
251,B,D
252,D,D
253,C,C
254,B,B
255,B,A
256,B,D
257,C,D
258,B,C
259,C,C
260,A,A
261,B,D
262,B,C
263,B,B
264,B,A
265,D,D
266,C,D
267,C,C
268,D,A
269,B,A
270,B,B
271,C,C
272,C,C
273,B,A
274,B,A
275,D,D
276,D,D
277,B,B
278,C,C
279,C,D
280,B,B
281,D,D
282,B,C
283,C,B
284,A,B
285,D,B
286,B,B
287,B,D
288,C,D
289,B,C
290,B,B
291,B,D
292,D,C
293,B,D
294,B,C
295,D,C
296,C,D
297,B,D
298,B,B
299,B,A
300,D,A
301,B,D
302,B,B
303,B,D
304,B,B
305,B,B
306,B,B
307,C,C
308,B,B
309,B,D
310,B,B
311,D,D
312,B,B
313,A,D
314,B,B
315,D,C
316,C,B
317,D,C
318,D,D
319,B,B
320,B,D
321,B,B
322,B,B
323,B,B
324,A,B
325,C,D
326,B,B
327,C,A
328,B,C
329,D,D
330,A,A
331,B,B
332,C,B
333,A,C
334,B,C
335,C,C
336,B,B
337,B,B
338,B,D
339,A,D
340,B,B
341,B,B
342,B,D
343,B,B
344,B,B
345,A,C
346,B,C
347,C,C
348,D,B
349,C,C
350,B,C
351,B,B
352,C,C
353,B,D
354,B,C
355,B,A
356,B,C
357,B,D
358,A,D
359,B,A
360,B,B
361,测评最终结果,共360题，164题正确，196题错误。正确率：45.55555555555556%
