,模型答案,真实答案
1,D,CD
2,AB,AB
3,ABD,ABD
4,BC,ABC
5,C,ABC
6,D,AC
7,D,BCD
8,C,CD
9,A,AC
10,BCD,BCD
11,ACD,ACD
12,D,BD
13,B,BD
14,ABCD,ABCD
15,ABC,ABC
16,ACD,ACD
17,AB,AB
18,D,ABC
19,D,BCD
20,B,ABD
21,C,BC
22,ACD,ACD
23,C,ABCD
24,ABC,ABC
25,ABCD,ABD
26,A,ABC
27,C,ABC
28,C,AC
29,D,AC
30,B,BD
31,AB,ABD
32,C,ABC
33,A,AD
34,ABCD,BC
35,B,BC
36,A,CD
37,B,BCD
38,D,ABC
39,C,ABC
40,D,AB
41,BCD,BC
42,A,ABD
43,ABCD,ABD
44,BDA,ABD
45,A,AD
46,C,ABC
47,CDB,BCD
48,B,AB
49,BCD,BC
50,ABC,BCD
51,B,ABC
52,D,ACD
53,ABC,ABC
54,B,BC
55,ABCD,ABCD
56,D,ABD
57,B,ABCD
58,A,AD
59,D,CD
60,A,BC
61,BC,BC
62,B,AC
63,A,AB
64,D,ABCD
65,C,ABC
66,D,BD
67,B,AB
68,D,ABC
69,CD,BCD
70,D,BCD
71,C,AC
72,B,BC
73,ABCD,ABCD
74,B,ABC
75,C,BCD
76,D,CD
77,A,BD
78,ABCD,ABD
79,D,BC
80,ABC,ABC
81,C,ACD
82,C,BC
83,ABC,ABC
84,C,BC
85,D,BCD
86,D,ABD
87,C,ACD
88,D,BD
89,B,ABC
90,C,AB
91,B,ABD
92,D,ABC
93,D,BCD
94,D,ABD
95,B,BC
96,B,AB
97,B,CD
98,D,CD
99,B,BC
100,A,AD
101,C,BD
102,D,ABD
103,D,AD
104,B,ABC
105,D,BD
106,ACD,ABC
107,D,ACD
108,ABC,ABC
109,BC,BCD
110,C,ABCD
111,B,ABD
112,B,ABC
113,C,AD
114,BDC,ABCD
115,ABC,ABC
116,B,ACD
117,D,AC
118,D,CD
119,D,ABCD
120,B,AB
121,C,CD
122,C,ABC
123,CBA,ABC
124,ABCD,BCD
125,D,ABCD
126,ABCD,ABCD
127,B,BCD
128,D,ACD
129,AB,ABD
130,ACD,AC
131,C,AC
132,C,AC
133,D,BCD
134,C,AB
135,D,CD
136,C,BD
137,B,AC
138,AB,ABC
139,C,ABD
140,D,BC
141,D,BCD
142,B,BCD
143,A,ACD
144,BCD,BCD
145,D,AD
146,D,AB
147,C,ABC
148,ABCD,ABC
149,ABC,BC
150,ABCD,ABCD
151,C,ABC
152,D,ABD
153,D,ABD
154,B,ABC
155,CD,ABCD
156,C,BC
157,C,ABC
158,AB,AB
159,D,ABCD
160,D,AD
161,D,AB
162,D,BCD
163,ABD,ABD
164,AB,ABC
165,BC,BCD
166,D,AD
167,D,ABD
168,B,ACD
169,A,AC
170,D,AC
171,D,ABCD
172,D,BCD
173,D,ABCD
174,ABCD,ACD
175,A,AD
176,ABC,ABC
177,C,CD
178,C,ABCD
179,D,ACD
180,D,ABCD
181,ACD,ACD
182,D,CD
183,BC,BC
184,ABC,ABC
185,D,BCD
186,ABCD,AC
187,D,ABD
188,C,ABC
189,A,AC
190,D,BD
191,ABC,ABC
192,C,ABD
193,A,ACD
194,D,BCD
195,A,ABD
196,D,ABD
197,ABCD,ACD
198,ABCD,ABC
199,D,AD
200,AC,AC
201,AD,ABC
202,D,ABC
203,D,AC
204,B,ABC
205,C,BC
206,A,AB
207,D,AC
208,B,AB
209,ACD,ACD
210,C,AC
211,C,ABCD
212,ACD,BD
213,C,AB
214,ABCD,BCD
215,D,ABC
216,ACD,ABCD
217,C,AC
218,C,BCD
219,C,ACD
220,D,ACD
221,C,AC
222,ABD,AB
223,B,AB
224,D,ACD
225,C,AC
226,A,AC
227,D,ABD
228,ABD,ABD
229,C,BC
230,C,ABC
231,C,AD
232,C,ABC
233,D,ABD
234,B,BC
235,BCD,ABC
236,C,BC
237,B,BD
238,A,AC
239,ABC,ABCD
240,C,ABC
241,C,AD
242,D,ACD
243,ACD,ACD
244,C,AC
245,D,ACD
246,ABCD,AD
247,ABC,ABCD
248,ABCD,ABCD
249,A,AC
250,ABCD,ABCD
251,ABCD,BCD
252,A,ACD
253,D,BCD
254,C,ABC
255,ABCD,ABCD
256,ABCD,ABC
257,C,BCD
258,A,AC
259,D,ACD
260,A,AC
261,D,ABCD
262,D,ACD
263,D,ABCD
264,C,ACD
265,ABD,BD
266,AD,ACD
267,D,ABC
268,D,BCD
269,D,AC
270,B,BCD
271,ABD,ABD
272,D,BD
273,C,BC
274,AB,AB
275,B,ABD
276,D,ACD
277,ABCD,CD
278,C,ABC
279,A,AC
280,D,ACD
281,ABCD,ACD
282,BCD,ABCD
283,ABC,ABC
284,D,BC
285,ABC,ABC
286,BCD,BCD
287,D,AB
288,ABCD,ABD
289,C,ABCD
290,D,BCD
291,C,ABCD
292,B,ABC
293,D,BCD
294,D,ACD
295,C,ABC
296,BC,ABC
297,B,AB
298,D,AD
299,C,BC
300,ACD,AC
301,D,BCD
302,ABCD,ABCD
303,C,AC
304,B,BC
305,D,ACD
306,D,BC
307,C,BD
308,C,AB
309,D,CD
310,ABC,ABC
311,A,BC
312,D,ABC
313,C,ACD
314,ABCD,BD
315,C,ACD
316,AC,ABC
317,D,BCD
318,D,ABCD
319,ACD,ABC
320,D,AC
321,ACD,AD
322,A,BC
323,C,BC
324,D,ABCD
325,AD,ACD
326,A,AD
327,D,ABCD
328,ABCD,ABD
329,C,BCD
330,C,BC
331,C,AC
332,C,BCD
333,D,BD
334,A,ACD
335,C,ABCD
336,B,AB
337,B,ABC
338,ACD,AC
339,B,ABD
340,D,ACD
341,ABC,ABC
342,BC,BCD
343,ABCD,ABD
344,BCD,ABCD
345,CABD,ABC
346,A,ABCD
347,C,BCD
348,B,BCD
349,ACD,ACD
350,B,ABCD
351,CD,CD
352,D,ABD
353,ABCD,ABC
354,D,AC
355,ACD,AC
356,ACD,ABCD
357,ABC,BCD
358,D,ACD
359,C,ABD
360,ABC,ABC
361,C,BCD
362,D,ABC
363,C,CD
364,C,AB
365,D,CD
366,D,ABCD
367,BCD,BCD
368,D,ABD
369,ABD,AC
370,C,BC
371,ABD,ABD
372,D,ABCD
373,ABC,ABC
374,D,BCD
