,模型答案,真实答案
1,A,D
2,A,C
3,A,B
4,A,B
5,A,A
6,A,A
7,A,B
8,A,B
9,B,D
10,A,A
11,A,D
12,A,D
13,A,B
14,A,C
15,A,D
16,A,D
17,A,D
18,A,B
19,A,A
20,A,B
21,A,B
22,A,B
23,A,B
24,A,C
25,A,C
26,A,A
27,A,C
28,A,B
29,A,C
30,A,A
31,A,D
32,A,D
33,A,B
34,A,B
35,A,D
36,A,D
37,A,A
38,A,C
39,A,B
40,A,B
41,A,A
42,A,C
43,A,C
44,A,C
45,A,B
46,A,C
47,A,B
48,A,C
49,A,A
50,A,A
51,A,B
52,A,B
53,A,B
54,A,C
55,A,B
56,A,B
57,A,B
58,A,D
59,B,D
60,A,A
61,A,B
62,A,C
63,A,D
64,A,C
65,A,B
66,A,B
67,A,B
68,A,A
69,A,C
70,A,C
71,A,C
72,A,B
73,A,B
74,A,C
75,A,A
76,A,A
77,A,D
78,A,A
79,A,C
80,A,B
81,A,A
82,A,D
83,A,A
84,A,D
85,A,C
86,A,D
87,A,B
88,A,B
89,A,B
90,A,B
91,A,B
92,A,C
93,A,C
94,A,C
95,A,C
96,A,D
97,A,D
98,C,D
99,A,D
100,A,A
101,A,B
102,A,C
103,C,D
104,A,D
105,C,B
106,A,A
107,A,C
108,A,C
109,A,A
110,A,C
111,A,D
112,A,D
113,A,B
114,A,A
115,A,B
116,A,A
117,A,D
118,A,A
119,A,B
120,A,C
121,A,C
122,A,B
123,A,D
124,A,D
125,D,A
126,B,B
127,A,C
128,A,B
129,A,B
130,A,B
131,A,A
132,A,C
133,A,B
134,A,D
135,A,D
136,A,C
137,A,C
138,A,A
139,A,A
140,D,D
141,A,A
142,A,C
143,A,C
144,A,C
145,A,A
146,A,B
147,A,A
148,C,D
149,A,C
150,A,B
151,A,A
152,A,D
153,A,C
154,A,A
155,C,C
156,A,A
157,B,B
158,A,C
159,C,C
160,A,B
161,A,D
162,A,B
163,A,D
164,A,A
165,A,D
166,D,C
167,A,A
168,A,B
169,B,B
170,D,B
171,A,B
172,A,B
173,A,C
174,A,D
175,A,A
176,A,D
177,A,A
178,C,B
179,A,A
180,A,B
181,A,A
182,A,B
183,A,B
184,A,D
185,A,C
186,A,D
187,A,B
188,A,D
189,B,C
190,A,C
191,A,A
192,A,D
193,A,A
194,A,D
195,A,A
196,A,D
197,A,C
198,A,C
199,A,A
200,B,D
201,A,A
202,A,B
203,A,C
204,A,A
205,A,C
206,A,A
207,A,A
208,A,C
209,A,C
210,A,A
211,A,D
212,A,A
213,D,A
214,A,A
215,A,B
216,A,C
217,A,D
218,A,B
219,D,D
220,A,D
221,A,C
222,A,B
223,A,B
224,A,C
225,A,B
226,A,B
227,A,C
228,A,B
229,A,C
230,B,B
231,C,C
232,A,B
233,A,D
234,A,B
235,A,A
236,A,C
237,C,B
238,A,B
239,A,D
240,B,B
241,A,C
242,A,D
243,D,A
244,A,C
245,A,C
246,D,C
247,A,B
248,A,D
249,A,B
250,A,B
251,B,D
252,A,D
253,A,C
254,A,B
255,A,A
256,A,D
257,A,D
258,A,C
259,D,C
260,A,A
261,A,D
262,A,C
263,A,B
264,A,A
265,A,D
266,A,D
267,A,C
268,A,A
269,A,A
270,A,B
271,A,C
272,A,C
273,A,A
274,A,A
275,A,D
276,A,D
277,A,B
278,C,C
279,D,D
280,A,B
281,A,D
282,A,C
283,A,B
284,A,B
285,A,B
286,A,B
287,A,D
288,A,D
289,A,C
290,B,B
291,A,D
292,A,C
293,A,D
294,A,C
295,A,C
296,A,D
297,A,D
298,A,B
299,A,A
300,A,A
301,A,D
302,A,B
303,A,D
304,A,B
305,A,B
306,A,B
307,A,C
308,A,B
309,A,D
310,A,B
311,D,D
312,A,B
313,A,D
314,B,B
315,A,C
316,A,B
317,A,C
318,A,D
319,A,B
320,A,D
321,A,B
322,A,B
323,A,B
324,A,B
325,A,D
326,A,B
327,A,A
328,A,C
329,A,D
330,A,A
331,A,B
332,A,B
333,A,C
334,A,C
335,A,C
336,A,B
337,A,B
338,A,D
339,A,D
340,A,B
341,D,B
342,A,D
343,A,B
344,A,B
345,A,C
346,D,C
347,A,C
348,D,B
349,D,C
350,A,C
351,A,B
352,A,C
353,A,D
354,A,C
355,A,A
356,A,C
357,C,D
358,A,D
359,A,A
360,A,B
361,测评最终结果,共360题，78题正确，282题错误。正确率：21.666666666666668%
