,模型答案,真实答案
1,ABCD,CD
2,ABC,AB
3,ABC,ABD
4,ABCD,ABC
5,ABCD,ABC
6,ABCD,AC
7,ABC,BCD
8,ABCD,CD
9,ABCD,AC
10,ABC,BCD
11,ABCD,ACD
12,ABCD,BD
13,ABCD,BD
14,ABCD,ABCD
15,ABCD,ABC
16,ABCD,ACD
17,ABCD,AB
18,ABCD,ABC
19,ABCD,BCD
20,ABCD,ABD
21,ABC,BC
22,ABCD,ACD
23,ABCD,ABCD
24,ABCD,ABC
25,A,ABD
26,ABCD,ABC
27,ABC,ABC
28,ABC,AC
29,ABCD,AC
30,ABC,BD
31,ABC,ABD
32,ABCD,ABC
33,ABCD,AD
34,ABCD,BC
35,ABCD,BC
36,ABCD,CD
37,ABCD,BCD
38,ABCD,ABC
39,ABC,ABC
40,ABCD,AB
41,ABCD,BC
42,ABCD,ABD
43,ABCD,ABD
44,ABCD,ABD
45,ABCD,AD
46,ABC,ABC
47,ABCD,BCD
48,ABCD,AB
49,ABCD,BC
50,AC,BCD
51,ABCD,ABC
52,ABCD,ACD
53,AC,ABC
54,ABCD,BC
55,ABC,ABCD
56,ABCD,ABD
57,ABCD,ABCD
58,ABCD,AD
59,ABCD,CD
60,ABCD,BC
61,AC,BC
62,ABCD,AC
63,ABCD,AB
64,ABCD,ABCD
65,ABCD,ABC
66,ABCD,BD
67,ABCD,AB
68,ABCD,ABC
69,ABC,BCD
70,ABCD,BCD
71,ABCD,AC
72,ABC,BC
73,ABCD,ABCD
74,ABCD,ABC
75,ABCD,BCD
76,AC,CD
77,ABCD,BD
78,ABCD,ABD
79,ABCD,BC
80,ABCD,ABC
81,ABCD,ACD
82,ABCD,BC
83,ABCD,ABC
84,ABCD,BC
85,ABCD,BCD
86,ABCD,ABD
87,ABCD,ACD
88,ABCD,BD
89,ABCD,ABC
90,ABCD,AB
91,ABCD,ABD
92,ABCD,ABC
93,ABCD,BCD
94,ABCD,ABD
95,ABCD,BC
96,ABCD,AB
97,ABCD,CD
98,ABCD,CD
99,ABCD,BC
100,ABCD,AD
101,ABCD,BD
102,ABCD,ABD
103,ABCD,AD
104,ABCD,ABC
105,ABCD,BD
106,ABCD,ABC
107,ABCD,ACD
108,ABCD,ABC
109,ABC,BCD
110,ABCD,ABCD
111,ABCD,ABD
112,ABCD,ABC
113,ABCD,AD
114,AC,ABCD
115,ABCD,ABC
116,ABCD,ACD
117,ABCD,AC
118,ABCD,CD
119,ABCD,ABCD
120,ABCD,AB
121,ABCD,CD
122,ABCD,ABC
123,ABCD,ABC
124,ABCD,BCD
125,ABCD,ABCD
126,ABCD,ABCD
127,ABC,BCD
128,ABC,ACD
129,ABCD,ABD
130,AC,AC
131,ABCD,AC
132,ABC,AC
133,ABCD,BCD
134,ABCD,AB
135,ABCD,CD
136,ABCD,BD
137,ABCD,AC
138,ABC,ABC
139,ABCD,ABD
140,ABCD,BC
141,ABC,BCD
142,ABCD,BCD
143,ABCD,ACD
144,ABCD,BCD
145,ABCD,AD
146,ABC,AB
147,ABC,ABC
148,ABCD,ABC
149,ABCD,BC
150,ABCD,ABCD
151,ABCD,ABC
152,ABC,ABD
153,ABCD,ABD
154,ABCD,ABC
155,ABCD,ABCD
156,ABCD,BC
157,ABC,ABC
158,ABC,AB
159,ABCD,ABCD
160,ABCD,AD
161,ABCD,AB
162,ABCD,BCD
163,ABCD,ABD
164,ABCD,ABC
165,ABCD,BCD
166,ABCD,AD
167,ABCD,ABD
168,ABCD,ACD
169,ABCD,AC
170,AC,AC
171,ABCD,ABCD
172,ABCD,BCD
173,ABCD,ABCD
174,ABCD,ACD
175,ABCD,AD
176,ABCD,ABC
177,ABCD,CD
178,ABCD,ABCD
179,ABCD,ACD
180,ABCD,ABCD
181,ABCD,ACD
182,ABCD,CD
183,ABCD,BC
184,ABCD,ABC
185,ABCD,BCD
186,ABCD,AC
187,ABCD,ABD
188,ABCD,ABC
189,ABC,AC
190,ABCD,BD
191,ABCD,ABC
192,ABCD,ABD
193,ABCD,ACD
194,ABCD,BCD
195,AC,ABD
196,ABCD,ABD
197,B,ACD
